カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0264,像,009,1,6,,,00489
0265,但,009,1,4,,,00240
0266,供,009,1,8,,,00299
0267,何,009,1,26,,,00250
0268,以,009,1,25,,,00194
0269,作,009,1,40,,,00256
0270-0271,佛,009,1,69,,,00255
0272,倶,009,1,2,,,00350
0273,今,009,1,5,,,00175
0274,仞,009,1,2,,,00189
0275,他,009,1,4,,,00183
0276,信,009,1,2,,,00345
0277,使,009,1,7,,,00279
0278,倫,009,1,2,,,00391
0279,僧,009,1,7,,,00503
0280,光,010,1,4,,,00567
0281,兒,010,1,3,,,00574
0282,兪,011,1,2,,,00593
0283,八,012,1,17,,,00594
0284,共,012,1,2,,,00599
0285,六,012,1,6,,,00597
0286-0287,其,012,1,56,,,00605
0288,具,012,1,3,,,00606
0289,再,013,1,2,,,00629
0290,次,076,1,10,,,05558
0291,出,017,1,8,,,00723
0292,切,018,2,16,16,,00735
0293,分,018,1,9,,,00734
0294,利,018,1,14,,,00767
0295,初,018,1,2,,,00759
0296,刹,018,1,17,,,00781
0297,到,018,1,4,,,00769
0298,前,018,1,10,,,00794
0299,則,018,1,5,,,00789
0300,功,019,1,6,,,00857
0301,勒,019,1,7,,,00885
0302,勤,019,1,3,,,00900
0303,加,019,1,3,,,00858
0304,力,019,1,3,,,00856
0305,劫,019,1,2,,,00865
0306,動,019,1,6,,,00887
0307,勿,020,1,2,,,00919
0308,旬,072,1,2,,,04453
0309,北,021,1,5,,,00941
0310,化,021,1,23,,,00938
0311,十,024,1,18,,,00985
0312,平,051,1,2,,,02899
0313,千,024,1,48,,,00987
0314,南,024,1,6,,,01010
0315,卿,026,1,2,,,01052
0316,印,026,1,4,,,01034
0317,去,028,1,6,,,01101
0318,及,029,1,21,,,01111
0319,受,029,1,8,,,01128
0320,叉,029,1,3,,,01109
0321,聚,128,1,6,,,09314
0322,命,030,1,2,,,01252
0323,告,030,1,2,,,01219
0324,名,030,1,18,,,01175
0325,各,030,1,20,,,01168
0326,味,030,1,2,,,01242
0327,唾,030,1,2,,,01359
0328,含,030,1,6,,,01197
0329,吼,030,1,3,,,01215
0330,善,030,1,2,,,01395
0331,器,030,1,4,,,01523
0332,問,030,1,4,,,01369
0333,可,030,1,22,,,01154
0334,喜,030,1,8,,,01412
0335,鳴,196,1,2,,,14379
0336,01571,030,1,2,,,01571
0337,品,030,1,4,,,01296
0338,四,031,1,37,,,01607
0339,園,031,1,2,,,01644
0340,因,031,1,2,,,01611
0341,土,032,1,18,,,01654
0342,地,032,1,15,,,01666
0343,城,032,1,13,,,01740
0344,在,032,1,19,,,01659
0345,墮,032,1,4,,,01863
0346,坐,032,1,11,,,01682
0347,垢,032,1,2,,,01726
0348,壽,033,1,2,,,01913
0349-0350,天,037,1,56,,,01947
0351,大,037,1,38,,,01946
0352,奉,037,1,3,,,01974
0353,夫,037,1,5,,,01949
0354,央,037,1,6,,,01954
0355,姓,038,1,4,,,02077
0356,婬,038,1,2,,,02159
0357,好,038,1,2,,,02029
0358,嫉,038,1,2,,,02201
0359,女,038,1,20,,,02022
0360-0363,如,038,1,186,,,02031
0364,M06392,038,1,6,,,
0365,02040,038,1,2,,,02040
0366,子,039,1,36,,,02262
0367,學,039,1,4,,,02293
0368,安,040,1,4,,,02309
0369,實,040,1,2,,,02390
0370,寶,040,1,8,,,02407
0371,宮,040,1,3,,,02342
0372,官,040,1,6,,,02323
0373,寧,040,1,2,,,02392
0374,導,041,1,3,,,02436
0375,小,042,1,3,,,02439
0376,展,044,1,5,,,02496
0377,屬,044,1,7,,,02515
0378,居,044,1,2,,,02482
0379,已,049,1,12,,,02783
0380,常,050,1,12,,,02847
0381,師,050,1,5,,,02835
0382,干,051,1,7,,,02897
0383,幻,052,1,13,,,02907
0384,廣,053,1,4,,,02993
0385,彌,057,1,7,,,03084
0386,弟,057,1,14,,,03052
0387,強,057,1,2,,,03066
0388,形,059,1,4,,,03101
0389,03157,060,2,6,1,,03157
0390,從,060,1,6,,,03151
0391,復,060,1,40,,,03159
0392-0393,彼,060,1,54,,,03124
0394-0395,得,060,1,54,,,03145
0396,徳,060,1,8,,,03172
0397,心,061,1,13,,,03179
0398,意,061,1,9,,,03395
0399,忍,061,1,7,,,03184
0400,思,061,1,4,,,03239
0401,念,061,1,7,,,03214
0402,惟,061,1,6,,,03365
0403,和,030,1,6,,,01263
0404,惡,061,1,12,,,03367
0405,急,061,1,2,,,03243
0406,怛,061,1,7,,,03237
0407,恆,061,1,6,,,03267
0408,恚,061,1,2,,,03278
0409,忘,061,1,2,,,03196
0410,懈,061,1,2,,,03549
0411,性,061,1,2,,,03244
0412,怠,061,1,2,,,03240
0413,悉,061,1,25,,,03312
0414,慧,061,1,4,,,03462
0415,03182,061,1,3,,,03182
0416,我,062,1,13,,,03611
0417,或,062,1,2,,,03617
0418,成,062,1,3,,,03610
0419-0420,所,063,1,84,,,03647
0421,搖,064,1,2,,,03947
0422,拘,064,1,9,,,03757
0423,提,064,1,9,,,03896
0424,03927,064,1,9,,,03927
0425,持,064,1,27,,,03780
0426,摩,064,1,2,,,04009
0427,支,065,1,4,,,04216
0428,致,133,1,3,,,09611
0429,放,066,1,5,,,04233
0430,故,066,1,17,,,04243
0431,數,066,1,16,,,04298
0432,變,066,1,15,,,04319
0433,斯,069,1,3,,,04373
0434,斷,069,1,5,,,04381
0435,方,070,1,15,,,04385
0436-0437,於,070,1,74,,,04389
0438-0441,是,072,1,192,,,04512
0442,日,072,1,6,,,04446
0443,時,072,1,23,,,04523
0444,明,072,1,4,,,04485
0445,曇,072,1,3,,,04621
0446,普,072,1,3,,,04557
0447,易,072,1,2,,,04489
0448,智,072,1,4,,,04569
0449,星,072,1,2,,,04499
0450,曼,073,1,3,,,04660
0451,最,073,1,3,,,04664
0452,會,073,1,6,,,04667
0453,更,073,1,2,,,04654
0454,曹,073,1,2,,,04659
0455,月,074,1,8,,,04673
0456-0457,有,074,1,62,,,04674
0458,服,074,1,6,,,04679
0459,本,075,1,2,,,04713
0460,末,075,1,2,,,04712
0461,樂,075,1,10,,,05279
0462,植,075,1,2,,,05080
0463,極,075,1,16,,,05161
0464,根,075,1,3,,,04922
0465,杖,075,1,2,,,04743
0466,栴,075,1,4,,,04918
0467,東,075,1,6,,,04765
0468,檀,075,1,4,,,05391
0469,梵,075,1,4,,,05010
0470,柔,075,1,5,,,04849
0471,樹,075,1,6,,,05323
0472,穀,115,1,2,,,08261
0473,歡,076,1,5,,,05639
0474,欲,076,1,14,,,05580
0475,止,077,1,2,,,05641
0476,此,077,1,7,,,05644
0477,正,077,1,7,,,05643
0478,歩,077,1,2,,,05645
0479,歳,077,1,4,,,05666
0480,歿,078,1,2,,,05692
0481,殃,078,1,2,,,05699
0482,殿,079,1,3,,,05809
0483,比,081,1,17,,,05841
0484,毛,082,1,3,,,05850
0485,淨,085,1,3,,,06272
0486,滅,085,1,2,,,06432
0487-0488,法,085,1,69,,,06074
0489,06144,085,1,5,,,06144
0490,治,085,1,3,,,06055
0491,漢,085,1,3,,,06499
0492,減,085,1,2,,,06313
0493,泥,085,1,4,,,06088
0494,沙,085,1,8,,,06031
0495,求,085,1,7,,,05964
0496,沓,085,1,3,,,06025
0497,況,085,1,2,,,06058
0498,汝,085,1,4,,,05983
0499,浮,085,1,4,,,06175
0500,滿,085,1,12,,,06476
0501,波,085,1,4,,,06086
0502,然,086,1,2,,,06885
0503-0504,無,086,1,84,,,06872
0505,照,086,1,2,,,06918
0506,熟,086,1,2,,,06949
0507,特,093,1,4,,,07086
0508,厭,027,1,2,,,01088
0509,王,096,1,26,,,07262
0510,現,096,1,15,,,07304
0511,甚,099,1,13,,,07457
0512,生,100,1,16,,,07461
0513,用,101,1,3,,,07469
0514,異,102,1,7,,,07530
0515,畜,102,1,2,,,07513
0516,畏,102,1,2,,,07503
0517,當,102,1,14,,,07535
0518,男,102,1,7,,,07483
0519,田,102,1,3,,,07478
0520-0521,界,102,1,55,,,07501
0522,疑,103,1,4,,,07559
0523,發,105,1,9,,,07707
0524,白,106,1,10,,,07709
0525-0526,皆,106,1,93,,,07717
0527,百,106,1,20,,,07710
0528,盡,108,1,6,,,07779
0529,盧,108,1,2,,,07785
0530-0531,目,109,1,78,,,07790
0532,眼,109,1,4,,,07843
0533,瞋,109,1,2,,,07878
0534,相,109,1,9,,,07801
0535,衆,109,1,12,,,07844
0536,眞,109,1,2,,,07827
0537,知,111,1,28,,,07941
0538,禮,113,1,4,,,08165
0539,示,113,1,6,,,08097
0540,福,113,1,10,,,08148
0541,稍,115,1,2,,,08224
0542,種,115,1,9,,,08244
0543,空,116,1,5,,,08296
0544,竟,117,1,2,,,08365
0545,端,117,1,2,,,08376
0546,竭,117,1,4,,,08375
0547,等,118,1,22,,,08426
0548,答,118,1,2,,,08437
0549,經,120,1,3,,,08856
0550,純,120,1,2,,,08753
0551,縁,120,1,8,,,08924
0552,縣,120,1,3,,,08972
0553,結,120,1,2,,,08807
0554,羅,122,1,20,,,09144
0555,置,122,1,4,,,09128
0556,罪,122,1,2,,,09125
0557,罵,122,1,2,,,09132
0558,義,123,1,2,,,09177
0559,著,140,1,5,,,09972
0560,習,124,1,3,,,09214
0561,者,125,1,50,,,09255
0562,而,126,1,35,,,09264
0563,耨,127,1,8,,,09286
0564,聞,128,1,10,,,09315
0565,耶,128,1,9,,,09292
0566,聲,128,1,8,,,09328
0567,脱,130,1,7,,,09463
0568,能,130,1,29,,,09429
0569,臥,131,1,2,,,09599
0570,自,132,1,13,,,09602
0571,至,133,1,3,,,09610
0572,擧,134,1,2,,,09632
0573,色,139,1,9,,,09716
0574,萬,140,1,21,,,09954
0575,藐,140,1,2,,,10192
0576,苦,140,1,5,,,09789
0577,草,140,1,3,,,09846
0578,薩,140,1,37,,,10163
0579,菓,140,1,6,,,09904
0580,菩,140,1,32,,,09919
0581,落,140,1,6,,,09961
0582,華,140,1,16,,,09921
0583,若,140,1,49,,,09788
0584,號,141,1,2,,,10276
0585,處,141,1,10,,,10270
0586,虚,141,1,4,,,10272
0587,10401,142,1,3,,,10401
0588,蜚,142,1,3,,,10411
0589,蠕,142,1,3,,,10574
0590,蟲,142,1,2,,,10549
0591,行,144,1,22,,,10614
0592,術,144,1,14,,,10618
0593,衣,145,1,4,,,10637
0594,被,145,1,7,,,10683
0595,覺,147,1,13,,,10856
0596,西,146,1,5,,,10820
0597,見,147,1,17,,,10831
0598,訖,149,1,2,,,10912
0599,訶,149,1,2,,,10936
0600,語,149,1,4,,,11017
0601,諦,149,1,3,,,11072
0602,護,149,1,6,,,11200
0603,謂,149,1,2,,,11095
0604,詈,149,1,2,,,10950
0605,論,149,1,2,,,11058
0606,譬,149,1,12,,,11189
0607,議,149,1,3,,,11195
0608-0609,説,149,1,52,,,11025
0610-0611,諸,149,1,60,,,11085
0612,計,149,1,19,,,10896
0613,言,149,1,35,,,10890
0614,豐,151,1,2,,,11261
0615,貌,153,1,3,,,11311
0616,賢,154,1,2,,,11397
0617,貪,154,1,2,,,11342
0618,貧,154,1,3,,,11338
0619,質,154,1,2,,,11404
0620,越,156,1,14,,,11471
0621,起,156,1,10,,,11461
0622,足,157,1,15,,,11495
0623,踊,157,1,2,,,11565
0624,蹈,157,1,2,,,11618
0625,身,158,1,17,,,11715
0626,趺,157,1,3,,,11502
0627,輕,159,1,3,,,11802
0628,11831,159,1,5,,,11831
0629,輪,159,1,2,,,11827
0630,轉,159,1,9,,,11856
0631,車,159,1,2,,,11740
0632,輩,159,1,9,,,11826
0633,辟,160,1,4,,,11898
0634,達,162,1,3,,,12052
0635,通,162,1,3,,,12000
0636,邊,162,1,7,,,12115
0637,逮,162,1,8,,,12019
0638,遠,162,1,3,,,12070
0639-0640,連,162,1,77,,,12010
0641,迦,162,1,18,,,11960
0642,遊,162,1,3,,,12042
0643,道,162,1,14,,,12051
0644,過,162,1,6,,,12046
0645,都,163,1,3,,,12188
0646,邑,163,1,3,,,12123
0647,郭,163,1,2,,,12179
0648,那,163,1,18,,,12134
0649,醜,164,1,2,,,12327
0650,釋,165,1,2,,,12371
0651,里,166,1,2,,,12372
0652,量,166,1,2,,,12376
0653,錢,167,1,2,,,12518
0654,鉢,167,1,2,,,12440
0655,閻,169,1,4,,,12757
0656,間,169,1,4,,,12724
0657,門,169,1,5,,,12709
0658,陀,170,2,12,4,,12831
0659,阿,170,1,24,,,12830
0661,隱,170,2,1,1,,12935
0662,限,170,1,2,,,12839
0663,難,172,1,2,,,13002
0664,離,172,1,3,,,13001
0665,雜,172,1,3,,,12997
0666,雨,173,1,3,,,13012
0667,露,173,1,3,,,13073
0668,非,175,1,2,,,13104
0669,面,176,1,3,,,13108
0670,鞭,177,1,2,,,13192
0671,音,180,1,7,,,13281
0672,須,181,1,4,,,13304
0673,類,181,1,8,,,13398
0674,頼,154,1,2,,,11411
0675,願,181,1,7,,,13391
0676,頭,181,1,2,,,13346
0677,M43812,182,1,3,,,
0678,養,184,1,12,,,13551
0679,食,184,1,14,,,13503
0680,飮,184,1,9,,,13526
0681,飽,184,1,2,,,13541
0682,香,186,1,5,,,13667
0683,體,188,1,4,,,13934
0684,高,189,1,2,,,13940
0685,鬚,190,1,2,,,14002
0686,髮,190,1,2,,,13959
0687,鬼,194,1,2,,,14061
0688,黠,203,1,2,,,14726
0689,龍,212,1,3,,,14876
0690,國,031,2,19,1,,01639
0691,報,032,2,2,1,,01796
0692,多,036,2,12,10,,01938
0693,審,040,2,6,1,,02395
0694,尊,041,2,12,9,,02429
0695,教,066,2,2,1,,04261
0696,族,070,1,4,,,04412
0697,民,083,2,11,1,,05935
0698-0699,爲,087,1,60,,,07032
0700,爾,089,2,17,3,,07043
0701,癡,104,1,2,,,07685
0702,神,113,2,14,1,,08124
0703,視,147,2,6,1,,10837
0704,解,148,1,7,,,10875
0705,隨,170,2,1,1,,12927
0706,除,170,1,3,,,12855
0707,餘,184,1,5,,,13565
0708,遮,162,3,9,3,1,12083
