統合ID,文字,P2413,字体数,用例数,部首
07212,獄,0090,0,1,094
07456,甘,0091,0,1,099
07501,界,0092,0,1,102
07591,疾,0093,0,1,104
07654,痩,0094,0,1,104
07707,發,0095,0,1,105
07748,皺,0096,0,1,107
07771,盜,0097,0,1,108
07790,目,0098,0,1,109
07938,矣,0099,0,1,111
08124,神,0100,0,1,113
08143,禁,0101,0,1,113
08365,竟,0102,0,1,117
11258,豎,0103,0,1,151
08428,筋,0104,0,1,118
08483,箱,0105,0,1,118
08664,粟,0106,0,1,119
08767,索,0107,0,1,120
08807,結,0108,0,1,120
08856,經,0109,0,1,120
08889,綵,0110,0,1,120
08929,緩,0111,0,1,120
08972,縣,0112,0,1,120
09028,繩,0113,0,1,120
09064,纏,0114,0,1,120
09130,罰,0115,0,1,122
09155,美,0116,0,1,123
09516,腹,0117,0,1,130
09599,臥,0118,0,1,131
09605,臭,0119,0,1,132
09632,擧,0120,0,1,134
09775,苔,0121,0,1,140
09874,莖,0122,0,1,140
09904,菓,0123,0,1,140
09961,落,0124,0,1,140
10040,蓋,0125,0,1,140
10139,薄,0126,0,1,140
M31034,莉,0127,0,1,140
M31622,蒺,0128,0,1,140
10549,蟲,0129,0,1,142
10388,蛾,0130,0,1,142
10637,衣,0131,0,1,145
10826,覆,0132,0,1,146
10860,角,0133,0,1,148
11205,譽,0134,0,1,149
11343,貫,0135,0,1,154
11377,賊,0136,0,1,154
12010,連,0137,0,1,162
12123,邑,0138,0,1,163
12134,那,0139,0,1,163
12170,郡,0140,0,1,163
12441,鉤,0141,0,1,167
12466,銚,0142,0,1,167
12496,鋸,0143,0,1,167
12664,鑊,0144,0,1,167
12714,閉,0145,0,1,169
12716,開,0146,0,1,169
12757,閻,0147,0,1,169
12955,雀,0148,0,1,172
13001,離,0149,0,1,172
13002,難,0150,0,1,172
13073,露,0151,0,1,173
13391,願,0152,0,1,181
13527,飯,0153,0,1,184
14088,魔,0154,0,1,194
14420,鴝,0155,0,1,196
14452,鴿,0156,0,1,196
14528,鶴,0157,0,1,196
M46926,鵒,0158,0,1,196
14621,鹿,0159,0,1,198
14833,齒,0160,0,1,211
00001,一,0161,1,24,001
00004,七,0162,1,44,001
00007,三,0163,1,17,001
00008,上,0164,1,26,001
00009,下,0165,1,13,001
00013,不,0166,1,58,001
00025,世,0168,1,8,001
00051,中,0169,1,87,002
00078,乃,0171,1,23,004
00085,久,0172,1,9,004
00088,之,0173,1,20,004
00107,九,0174,1,3,005
00118,乾,0175,1,6,005
00121,亂,0176,1,10,005
00128,事,0177,1,3,006
00129,二,0178,1,17,007
00135,五,0179,1,9,007
00152,交,0180,1,3,008
00154,亦,0181,1,39,008
00168,人,0182,1,107,009
00194,以,0185,1,45,009
00240,但,0186,1,12,009
00245,住,0187,1,3,009
00250,何,0188,1,26,009
00255,佛,0189,1,15,009
00256,作,0190a,2,15,009
00256b,作,0190b,2,3,009
00279,使,0191,1,13,009
00282,來,0192,1,2,009
00321,便,0193,1,14,009
00406,偈,0194,1,3,009
00421,健,0195,1,2,009
00473,傷,0196,1,2,009
00503,僧,0197,1,6,009
00520,億,0198,1,5,009
00542,優,0199,1,2,009
00561,兄,0200,1,5,010
00566,先,0201,1,5,010
00582,入,0202,1,16,011
00591,兩,0203,1,2,011
00594,八,0204,1,13,012
00597,六,0205,1,30,012
00605,其,0206,1,61,012
00651,冥,0208,1,2,014
00723,出,0209,1,33,017
00729,刀,0210,1,16,018
00732,刃,0211,0,1,018
00734,分,0212,1,16,018
00735,切,0213,1,2,018
00767,利,0214,1,16,018
00782,刺,0215,1,12,018
00794,前,0216,1,9,018
00805,剝,0217,1,2,018
00865,劫,0218,1,2,019
00898,勢,0219,1,4,019
00894,勞,0220,1,4,019
00941,北,0221,1,3,021
00951,匝,0222,1,13,022
00985,十,0223,1,26,024
00988,廿,0224,1,9,024
00987,千,0225,1,16,024
00989,卅,0226,1,4,024
00997,卌,0227,1,2,024
01010,南,0228,1,4,024
01049,卽,0229,1,8,026
01101,去,0230,1,9,028
01111,及,0231,1,3,029
01128,受,0232,1,5,029
01141,口,0233,1,18,030
01143,句,0234,1,2,030
01154,可,0235,1,18,030
01166,吁,0236,1,7,030
01168,各,0237,1,33,030
01174,同,0238,1,2,030
01175,名,0239,1,61,030
01179,向,0241,1,4,030
01212,吹,0242,1,6,030
01235,周,0243,1,12,030
01245,呵,0244,1,12,030
01252,命,0245,1,4,030
01263,和,0246,1,6,030
01293,咽,0247,1,3,030
01296,品,0248,1,2,030
01361,啄,0249,1,2,030
01369,問,0250,1,18,030
01395,善,0251,1,14,030
01399,喉,0252,1,3,030
01409,喙,0253,1,2,030
01503,噉,0254,1,3,030
01527,噭,0255,1,10,030
01585,嚾,0256,1,13,030
01607,四,0257,1,38,031
01611,因,0258,1,10,031
01641,圍,0259,1,10,031
01644,園,0260,1,2,031
01659,在,0261,1,30,032
01666,地,0262,1,6,032
01682,坐,0263,1,4,032
01727,垣,0264,1,3,032
01740,城,0265,1,8,032
01767,堅,0266,1,2,032
01863,墮,0267,1,26,032
01895,壞,0268,1,2,032
01934,外,0269,1,3,036
01938,多,0270,1,8,036
01946,大,0271,1,32,037
01947,天,0272,1,8,037
02022,女,0273,1,2,038
02029,好,0274,1,10,038
02031,如,0275,1,25,038
02059,妹,0276,1,6,038
02142,婆,0277,1,5,038
02159,婬,0278,1,9,038
02262,子,0279,1,15,039
02309,安,0280,1,5,040
02342,宮,0281,1,6,040
02371,寒,0282,1,8,040
02390,實,0283,1,12,040
02395,審,0284,1,3,040
02407,寶,0285,1,15,040
02439,小,0286,1,3,042
02469,尸,0287,1,8,044
02473,尼,0288,1,8,044
02515,屬,0289,1,5,044
02528,山,0290,1,6,046
02564,岸,0291,1,5,046
02783,已,0292,1,6,049
02820,帝,0293,1,6,050
02847,常,0294,1,5,050
02944,度,0295,1,3,053
02993,廣,0296,1,17,053
03052,弟,0297,1,5,057
03138,後,0298,1,6,060
03145,得,0299,1,17,060
03159,復,0300,1,25,060
03151,從,0301a,2,7,060
03151b,從,0301b,2,5,060
03179,心,0302,1,3,061
03184,忍,0303,1,15,061
03214,念,0304,1,9,061
03233,怖,0305,1,2,061
03272,恐,0306,1,3,061
03312,悉,0307,1,9,061
03367,惡,0308,1,38,061
03395,意,0309,1,12,061
03545,懅,0310,1,2,061
03611,我,0311,1,18,062
03628,截,0312,1,4,062
03647,所,0313,1,10,063
03659,手,0314,1,3,064
03694,抄,0315,1,8,064
03780,持,0316,1,7,064
03927,揵,0317,1,2,064
04009,摩,0318,1,8,064
04047,撓,0319,1,4,064
04228,改,0320,1,5,066
04243,故,0321,1,61,066
04303,整,0323,1,2,066
04339,斗,0324,1,2,068
04349,斛,0325,1,11,068
04381,斷,0326,1,4,069
04385,方,0327,1,6,070
04394,旁,0328,1,20,070
04490,昔,0329,1,5,072
04512,是,0330,1,43,072
04523,時,0331,1,8,072
04664,最,0332,1,2,073
04674,有,0333,1,102,074
04707,木,0336,1,7,075
04711,未,0337,1,15,075
04765,東,0338,1,3,075
04993,梨,0339,1,3,075
05161,極,0340,1,2,075
05279,樂,0341,1,2,075
05558,次,0342,1,16,076
05580,欲,0343,1,17,076
05641,止,0344,1,6,077
05644,此,0345,1,2,077
05666,歳,0346,1,10,077
05686,死,0347,1,25,078
05809,殿,0348a,2,2,079
05809b,殿,0348b,2,1,079
05834,母,0349,1,6,080
05839,毒,0350,1,31,080
05947,氣,0351,1,2,084
05952,水,0352,1,11,085
05956,氷,0353,1,7,085
05964,求,0354,1,12,085
05983,汝,0355,1,18,085
05986,池,0356,1,2,085
06031,沙,0357,1,11,085
06045,河,0358,1,4,085
06050,沸,0359,1,2,085
06074,法,0360,1,2,085
06086,波,0361,1,8,085
06088,泥,0362,1,89,085
06151,流,0364,1,7,085
06175,浮,0365,1,18,085
06179,浴,0366,1,2,085
06192,消,0367,1,4,085
06233,涿,0368,1,3,085
06285,深,0369,1,6,085
06317,渠,0370,1,3,085
06338,渴,0371,1,3,085
06381,湯,0372,1,2,085
06432,滅,0373,1,2,085
06748,灌,0374,1,6,085
06776,火,0375,1,17,086
06805,炙,0376a,2,15,086
06805b,炙,0376b,2,1,086
06801,炎,0377,1,7,086
06835,烏,0378,1,2,086
06872,無,0379,1,6,086
06874,焦,0380,1,3,086
06885,然,0381,1,9,086
06895,煮,0382,1,3,086
06974,燋,0383,1,3,086
06978,燒,0384,1,22,086
07032,爲,0385,1,55,087
07035,父,0387,1,8,088
07043,爾,0388,1,3,089
07087,牽,0389,1,2,093
07139,狗,0390,1,2,094
07165,狼,0391,1,4,094
07230,獨,0392,1,2,094
07198,猲,0393,1,8,094
07262,王,0394,1,32,096
07291,珠,0395,1,4,096
07342,瑙,0396,1,4,096
07348,瑠,0397,1,3,096
07366,璃,0398,1,3,096
07457,甚,0399,1,27,099
07461,生,0400,1,11,100
07469,用,0401,1,7,101
07483,男,0402,1,2,102
07503,畏,0403,1,3,102
07508,留,0404,1,4,102
07535,當,0405,1,18,102
07574,疧,0406,1,6,104
07598,病,0407,1,4,104
07613,痛,0408,1,32,104
07709,白,0409,1,15,106
07710,百,0410,1,31,106
07717,皆,0411,1,15,106
07739,皮,0412,1,6,107
07779,盡,0413,1,24,108
07801,相,0414,1,7,109
07827,眞,0415,1,4,109
07843,眼,0416,1,2,109
07941,知,0417,1,8,111
07986,破,0418,1,4,112
08117,祖,0419,1,5,113
08244,種,0420,1,16,115
08310,窈,0421,1,2,116
08412,第,0422,1,18,118
08426,等,0423,1,3,118
08685,精,0424,1,4,119
08739,紅,0425,1,10,120
08924,緣,0426,1,10,120
08963,縛,0427,1,2,120
08982,縱,0428,1,3,120
09020,繞,0429,1,6,120
09125,罪,0430,1,23,122
09144,羅,0431,1,29,122
09250,老,0432,1,3,125
09255,者,0433,1,50,125
09264,而,0434,1,11,126
09290,耳,0435,1,16,128
09315,聞,0436,1,5,128
09328,聲,0437a,2,6,128
09328b,聲,0437b,2,3,128
09348,肉,0438,1,6,130
09351,肌,0439,1,3,130
09386,胃,0440,1,3,130
09429,能,0441,1,3,130
09459,脣,0442,1,2,130
09462,脩,0443a,2,2,130
09462b,脩,0443b,2,1,130
09463,脱,0444,1,12,130
09501,腦,0445,1,2,130
09515,腸,0446,1,3,130
09539,膚,0447,1,4,130
09602,自,0448,1,29,132
09610,至,0449,1,14,133
09636,舌,0450,1,3,135
09638,舍,0451,1,4,135
09716,色,0452,1,13,139
09846,草,0453,1,2,140
09747,芥,0454,1,13,140
09788,若,0455,1,14,140
09789,苦,0456,1,6,140
09921,華,0457,1,24,140
09954,萬,0458,1,45,140
09966,葉,0459,1,4,140
10050,蓮,0460,1,16,140
10189,藍,0461,1,12,140
10191,藏,0462,1,2,140
10251,蘭,0463,1,11,140
10605,血,0464,1,2,143
10614,行,0465,1,11,144
10820,西,0466,1,3,146
10831,見,0467,1,16,147
10848,親,0468,1,5,147
10859,觀,0469,1,2,147
10890,言,0470,1,36,149
10936,訶,0471,1,2,149
11017,語,0472,1,2,149
11025,説,0473,1,5,149
11035,誹,0474,1,3,149
11072,諦,0475,1,2,149
11085,諸,0476,1,3,149
11116,謗,0477,1,2,149
11171,識,0478,1,5,149
11397,賢,0479,1,2,154
11445,赤,0480,1,5,155
11454,走,0481,1,8,156
11495,足,0482,1,3,157
11689,躍,0483,1,3,157
11715,身,0484,1,45,158
11740,車,0485,1,3,159
11827,輪,0486,1,18,159
11986,逆,0487,1,5,162
12046,過,0488,1,60,162
12051,道,0490,1,2,162
12092,遶,0491,1,3,162
12108,還,0492,1,5,162
12179,郭,0493,1,5,163
12301,酷,0494,1,2,164
12367,采,0495,1,4,165
12372,里,0496,1,43,166
12373,重,0497,1,33,166
12374,野,0498,1,3,166
12380,金,0499,1,8,167
12385,釜,0500,1,3,167
12440,鉢,0501,1,2,167
12451,銀,0502,1,4,167
12453,銅,0503,1,6,167
12654,鐵,0504,1,21,167
12698,長,0505,1,18,168
12709,門,0506,1,34,169
12724,間,0507,1,6,169
12830,阿,0508,1,44,170
12831,陀,0509,1,6,170
12935,隱,0510,1,2,170
13012,雨,0511,1,2,173
13020,雲,0512,1,2,173
13095,青,0513,1,10,174
13104,非,0514,1,31,175
13108,面,0515,1,5,176
13304,須,0516,1,20,181
13346,頭,0517,1,8,181
13423,風,0518,1,13,182
13495,飛,0519,1,7,183
13503,食,0520,1,4,184
13508,飢,0521,1,4,184
13565,餘,0522,1,7,184
13667,香,0523,1,2,186
13680,馬,0524,1,4,187
13873,骨,0525,1,6,188
13933,髓,0526,1,4,188
13934,體,0527,1,7,188
13940,高,0528,1,14,189
14072,魄,0529,1,2,194
14379,鳴,0530,1,6,196
14693,黃,0531,1,11,201
14700,黎,0532,1,85,202
14709,黑,0534,1,14,203
14769,鼎,0535,1,2,206
14809,鼻,0536,1,13,209
00175,今,0537a,2,2,009
00175b,今,0537b,2,1,009
01127,取,0538a,2,17,029
01127b,取,0538b,2,6,029
01873,壁,0539,1,25,032
02435,對,0540a,2,2,041
02435b,對,0540b,2,2,041
02905,幹,0541a,2,2,051
02905b,幹,0541b,2,1,051
04321,文,0542a,2,2,067
04321b,文,0542b,2,1,067
04389,於,0543a,2,3,070
04389b,於,0543b,2,1,070
05154,楯,0544a,2,10,075
05154b,楯,0544b,2,1,075
05293,樓,0545a,2,7,075
05293b,樓,0545b,2,1,075
05323,樹,0546a,2,30,075
05323b,樹,0546b,2,2,075
06476,滿,0547a,2,4,085
06476b,滿,0547b,2,1,085
07525,畫,0548a,2,3,102
07525b,畫,0548b,2,1,102
08016,碎,0549a,2,1,112
08016b,碎,0549b,2,1,112
09972,著,0550a,2,12,140
09972b,著,0550b,2,2,140
10729,裹,0551,0,1,145
10875,解,0552a,2,10,148
10875b,解,0552b,2,4,148
11189,譬,0553a,2,5,149
11189b,譬,0553b,2,1,149
11461,起,0554a,2,5,156
11461b,起,0554b,2,1,156
11548,路,0555a,2,1,157
11548b,路,0555b,2,1,157
11565,踊,0556a,2,2,157
11565b,踊,0556b,2,1,157
12115,邊,0557a,2,8,162
12115b,邊,0557b,2,2,162
12927,隨,0558a,2,4,170
12927b,隨,0558b,2,2,170
14361,鳥,0559a,2,8,196
14361b,鳥,0559b,2,2,196
10649,衰,0560,0,1,145
