カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典番号,部首番号,
0212,亦,1,18,,,,00154,008,
0213,人,1,4,,,,00168,009,
0214,今,1,23,,,,00175,009,
0215,他,1,17,,,,00183,009,
0216,令,1,31,,,,00193,009,
0217,以,1,34,,,,00194,009,
0218,任,1,3,,,,00206,009,
0219,伺,1,6,,,,00233,009,
0220,似,1,8,,,,00235,009,
0221,伽,1,15,,,,00236,009,
0222-0223,住,1,55,,,,00245,009,
0224-0225,何,1,63,,,,00250,009,
0226,佛,1,6,,,,00255,009,
0227-0228,作,2,40,11,,,00256,009,
0229,來,1,11,,,,00282,009,
0230,依,1,14,,,,00301,009,
0231,侶,1,2,,,,00316,009,
0232,便,1,18,,,,00321,009,
0233,俗,1,3,,,,00338,009,
0234,信,1,10,,,,00345,009,
0235,倒,1,4,,,,00373,009,
0236,假,2,3,1,,,00405,009,
0237,先,1,9,,,,00566,010,
0238,入,1,3,,,,00582,011,
0239,内,1,28,,,,00585,011,
0240,六,1,11,,,,00597,012,
0241,共,1,9,,,,00599,012,
0242,其,1,48,,,,00605,012,
0243,具,1,3,,,,00606,012,
0244,冢,1,2,,,,00648,014,
0245,分,1,28,,,,00734,018,
0246,切,1,15,,,,00735,018,
0247,別,1,24,,,,00763,018,
0248,利,1,12,,,,00767,018,
0249,則,1,4,,,,00789,018,
0250,前,1,8,,,,00794,018,
0251,力,1,21,,,,00856,019,
0252,功,1,8,,,,00857,019,
0253,加,1,10,,,,00858,019,
0254,勇,1,2,,,,00881,019,
0255,動,1,3,,,,00887,019,
0256,勝,2,30,3,,,00893,019,
0257,匱,1,3,,,,00968,022,
0258,即,2,11,8,,,01049,026,
0259,去,1,7,,,,01101,028,
0260,又,1,20,,,,01108,029,
0261,及,1,27,,,,01111,029,
0262,取,1,12,,,,01127,029,
0263,受,1,19,,,,01128,029,
0264,可,1,13,,,,01154,030,
0265,右,1,2,,,,01158,030,
0266,合,1,2,,,,01170,030,
0267,同,1,12,,,,01174,030,
0268-2670,名,1,117,,,,01175,030,
0271,吐,1,2,,,,01178,030,
0272,周,1,6,,,,01235,030,
0273-0274,品,1,58,,,,01296,030,
0275,哉,1,2,,,,01305,030,
0276,問,1,21,,,,01369,030,
0277,善,2,26,4,,,01395,030,
0278,01503,1,4,,,,01503,030,
0279,嚴,1,3,,,,01581,030,
0280,四,1,28,,,,01607,031,
0281,因,1,17,,,,01611,031,
0282,固,1,2,,,,01627,031,
0283,圓,1,18,,,,01645,031,
0284,在,1,20,,,,01659,032,
0285,地,1,14,,,,01666,032,
0286,坐,1,13,,,,01682,032,
0287,境,1,31,,,,01839,032,
0288,増,1,13,,,,01853,032,
0289,墮,1,4,,,,01863,032,
0290,壞,1,13,,,,01895,032,
0291,外,1,24,,,,01934,036,
0292,多,1,9,,,,01938,036,
0293,夜,1,6,,,,01939,036,
0294,大,1,14,,,,01946,037,
0295,失,1,5,,,,01957,037,
0296,奉,1,2,,,,01974,037,
0297,奢,1,5,,,,02006,037,
0298,女,1,3,,,,02022,038,
0299-0301,如,1,148,,,,02031,038,
0302,妙,1,2,,,,02045,038,
0303,始,1,6,,,,02069,038,
0304,姓,1,19,,,,02077,038,
0305,委,1,2,,,,02078,038,
0306,威,1,9,,,,02105,038,
0307,子,1,3,,,,02262,039,
0308,學,1,5,,,,02293,039,
0309,安,1,32,,,,02309,040,
0310,定,1,15,,,,02325,040,
0311,室,1,3,,,,02332,040,
0312,宣,1,7,,,,02333,040,
0313,害,1,3,,,,02346,040,
0314,宴,1,6,,,,02347,040,
0315,家,2,3,1,,,02349,040,
0316,寂,1,11,,,,02357,040,
0317,察,2,10,1,,,02383,040,
0318,02388,1,2,,,,02388,040,
0319,實,1,12,,,,02390,040,
0320,審,1,14,,,,02395,040,
0321,專,1,6,,,,02426,041,
0322,尊,1,5,,,,02429,041,
0323-0324,尋,1,96,,,,02430,041,
0325,對,1,3,,,,02435,041,
0326,小,1,2,,,,02439,042,
0327,少,1,5,,,,02440,042,
0328,就,1,7,,,,02464,043,
0329,尸,1,3,,,,02469,044,
0330,居,1,3,,,,02482,044,
0331,屍,1,9,,,,02489,044,
0332,山,1,2,,,,02528,046,
0333,巖,1,2,,,,02757,046,
0334,巧,1,2,,,,02775,048,
0335,己,1,2,,,,02782,049,
0336,已,1,31,,,,02783,049,
0337,師,2,6,5,,,02835,050,
0338,常,1,10,,,,02847,050,
0339,平,1,5,,,,02899,051,
0340,年,1,3,,,,02900,051,
0341,度,1,6,,,,02944,053,
0342,庸,1,7,,,,02963,053,
0343,廣,1,8,,,,02993,053,
0344,建,1,4,,,,03006,054,
0345,弄,1,2,,,,03017,055,
0346,引,1,5,,,,03044,057,
0347,弟,1,2,,,,03052,057,
0348,形,1,6,,,,03101,059,
0349-0350,彼,1,58,,,,03124,060,
0351,往,1,2,,,,03128,060,
0352,待,1,4,,,,03132,060,
0353,後,1,11,,,,03138,060,
0354,得,1,28,,,,03145,060,
0355,從,1,9,,,,03151,060,
0356,復,1,32,,,,03159,060,
0357,徳,1,3,,,,03172,060,
0358-0359,心,1,59,,,,03179,061,
0360,忍,1,3,,,,03184,061,
0361,念,1,20,,,,03214,061,
0362,怖,1,3,,,,03233,061,
0363-0365,思,1,113,,,,03239,061,
0366,性,1,37,,,,03244,061,
0367,恐,1,2,,,,03272,061,
0368,息,1,2,,,,03298,061,
0369,悦,1,10,,,,03309,061,
0370,想,1,3,,,,03373,061,
0371,悉,1,2,,,,03312,061,
0372,悟,1,2,,,,03326,061,
0373,患,1,4,,,,03329,061,
0374,悲,1,2,,,,03335,061,
0375,情,1,12,,,,03348,061,
0376,惟,1,8,,,,03365,061,
0377,惱,1,13,,,,03372,061,
0378,意,1,35,,,,03395,061,
0379,愛,1,2,,,,03405,061,
0380,慈,2,14,4,,,03439,061,
0381,慢,1,2,,,,03458,061,
0382,慧,1,4,,,,03462,061,
0383,慮,1,2,,,,03466,061,
0384,慰,1,2,,,,03469,061,
0385,慶,1,3,,,,03474,061,
0386,憂,1,2,,,,03486,061,
0387,憶,1,2,,,,03534,061,
0388-0389,應,1,62,,,,03550,061,
0390,成,1,17,,,,03610,062,
0391,戒,1,3,,,,03612,062,
0392,或,1,41,,,,03617,062,
0393-0395,所,1,121,,,,03647,063,
0396,打,1,2,,,,03666,064,
0397,持,1,13,,,,03780,064,
0398,挫,2,1,1,,,03798,064,
0399,捨,1,2,,,,03835,064,
0400,推,1,4,,,,03880,064,
0401,揚,1,2,,,,03904,064,
0402,摩,1,9,,,,04009,064,誤字あり
0403,擇,2,10,2,,,04085,064,
0404,擾,1,5,,,,04142,064,
0405,攝,1,17,,,,04192,064,
0406,支,1,7,,,,04216,065,
0407,放,1,4,,,,04233,066,
0408-0409,故,1,55,,,,04243,066,
0410,教,1,11,,,,04261,066,
0411,散,1,17,,,,04280,066,
0412,敬,1,5,,,,04286,066,
0413,數,1,16,,,,04298,066,
0414,變,2,11,1,,,04319,066,
0415,方,1,10,,,,04385,070,
0416-0418,於,1,125,,,,04389,070,
0419,施,1,3,,,,04391,070,
0420,既,1,5,,,,04442,071,
0421,日,1,4,,,,04446,072,
0422,明,1,4,,,,04485,072,
0423,易,1,2,,,,04489,072,
0424-0427,是,1,189,,,,04512,072,
0428,晝,1,3,,,,04542,072,
0429,智,1,9,,,,04569,072,
0430,暫,1,4,,,,04603,072,
0431,曉,1,3,,,,04623,072,
0432,曠,1,2,,,,04640,072,
0433,曲,1,3,,,,04651,073,
0434,更,1,2,,,,04654,073,
0435,曾,1,3,,,,04661,073,
0436-0438,有,1,106,,,,04674,074,
0439,木,1,2,,,,04707,075,
0440,未,1,18,,,,04711,075,
0441,本,1,4,,,,04713,075,
0442,林,1,6,,,,04803,075,
0443,果,1,2,,,,04806,075,
0444,染,1,3,,,,04848,075,
0445,柔,1,4,,,,04849,075,
0446,根,1,18,,,,04922,075,
0447,梵,1,3,,,,05010,075,
0448,棄,2,2,1,,,05014,075,
0449,業,1,5,,,,05152,075,
0450,極,1,18,,,,05161,075,
0451,槃,1,4,,,,05228,075,
0452,樂,1,46,,,,05279,075,
0453,樹,1,5,,,,05323,075,
0454,次,1,6,,,,05558,076,
0455,欲,2,24,1,,,05580,076,
0456,歡,1,4,,,,05639,076,
0457,止,1,3,,,,05641,077,
0458,正,1,42,,,,05643,077,
0459-0460,此,1,58,,,,05644,077,
0461,死,1,17,,,,05686,078,
0462,殷,1,2,,,,05795,079,
0463,母,1,2,,,,05834,080,
0464,毒,1,2,,,,05839,080,
0465,比,1,3,,,,05841,081,
0466,毘,1,27,,,,05845,081,
0467,毛,1,3,,,,05850,082,
0468,水,1,2,,,,05952,085,
0469,求,2,41,3,,,05964,085,
0470,汚,1,3,,,,05978,085,
0471,汝,1,17,,,,05983,085,
0472,決,1,3,,,,06003,085,
0473,沈,1,2,,,,06015,085,
0474,沒,1,2,,,,06023,085,
0475,治,1,3,,,,06055,085,
0476-0477,法,1,57,,,,06074,085,
0478,注,1,9,,,,06091,085,
0479,流,2,8,3,,,06151,085,
0480,涅,1,4,,,,06189,085,
0481,涙,1,2,,,,06253,085,
0482-0483,淨,2,55,8,,,06272,085,
0484,深,1,9,,,,06285,085,
0485,清,1,5,,,,06290,085,
0486,滅,1,4,,,,06432,085,
0487,滿,2,19,1,,,06476,085,
0488,澄,1,2,,,,06564,085,
0489-0490,無,1,61,,,,06872,086,
0491,然,1,6,,,,06885,086,
0492,煩,1,8,,,,06921,086,
0493,爛,1,4,,,,07017,086,
0494-0496,爲,1,120,,,,07032,087,
0497,父,1,2,,,,07035,088,
0498,爾,1,15,,,,07043,089,
0499,牢,1,2,,,,07076,093,
0500,物,1,3,,,,07080,093,
0501,特,1,3,,,,07086,093,
0502,状,1,3,,,,07122,094,
0503,狼,1,2,,,,07165,094,
0504,獄,1,2,,,,07212,094,
0505,獨,1,16,,,,07230,094,
0506,獲,2,5,1,,,07241,094,
0507,現,1,20,,,,07304,096,
0508,理,1,30,,,,07307,096,
0509,瑜,1,12,,,,07345,096,
0510,生,1,40,,,,07461,100,
0511,用,1,12,,,,07469,101,
0512,由,1,42,,,,07479,102,
0513,界,1,18,,,,07501,102,
0514,畏,1,3,,,,07503,102,
0515,略,1,2,,,,07522,102,
0516,異,1,12,,,,07530,102,
0517,當,1,24,,,,07535,102,
0518,疾,1,2,,,,07591,104,
0519,病,1,5,,,,07598,104,
0520,癡,1,4,,,,07685,104,
0521,發,1,29,,,,07707,105,
0522,白,1,5,,,,07709,106,
0523,皆,1,14,,,,07717,106,
0524,益,1,7,,,,07759,108,
0525,盡,2,3,2,,,07779,108,
0526,直,1,3,,,,07799,109,
0527-0529,相,1,102,,,,07801,109,
0530,眞,1,5,,,,07827,109,
0531,衆,1,17,,,,07844,109,
0532,知,1,31,,,,07941,111,
0533,石,1,2,,,,07954,112,
0534,稈,1,2,,,,08219,115,
0535-0536,種,1,73,,,,08244,115,誤字あり
0537,稱,1,4,,,,08248,115,
0538,稻,1,2,,,,08256,115,
0539,積,1,2,,,,08269,115,
0540,穢,1,2,,,,08279,115,
0541,穴,1,2,,,,08291,116,
0542,空,1,6,,,,08296,116,
0543,立,1,13,,,,08354,117,
0544,端,1,6,,,,08376,117,
0545,第,2,6,2,,,08412,118,
0546,等,1,49,,,,08426,118,
0547,答,1,5,,,,08437,118,
0548,節,1,7,,,,08493,118,
0549,範,1,2,,,,08497,118,
0550,精,1,6,,,,08685,119,
0551,細,1,4,,,,08779,120,
0552,結,1,3,,,,08807,120,
0553,練,1,3,,,,08938,120,
0554,總,1,4,,,,08993,120,
0555,繋,1,4,,,,09030,120,
0556,續,1,7,,,,09061,120,
0557,纏,1,3,,,,09064,120,
0558,缺,1,6,,,,09085,121,
0559,罪,1,5,,,,09125,122,
0560,罵,1,2,,,,09132,122,
0561,羅,1,6,,,,09144,122,
0562,習,1,15,,,,09214,124,
0563,者,1,36,,,,09255,125,
0564,而,1,25,,,,09264,126,
0565,09265,1,3,,,,09265,126,
0566,耳,1,2,,,,09290,128,
0567,聖,1,3,,,,09308,128,
0568,聞,1,28,,,,09315,128,
0569,聲,1,11,,,,09328,128,
0570,聽,1,6,,,,09335,128,
0571,肉,1,3,,,,09348,130,
0572-0573,能,1,56,,,,09429,130,
0574,脊,1,2,,,,09442,130,
0575,09445x,1,2,,,,09445x,130,
0576,脩,1,36,,,,09462,130,
0577,脹,1,2,,,,09470,130,
0578,膿,1,3,,,,09565,130,
0579,臥,2,3,2,,,09599,131,
0580,自,1,21,,,,09602,132,
0581,臭,1,2,,,,09605,132,
0582,至,1,20,,,,09610,133,
0583,擧,1,2,,,,09632,134,
0584,舍,1,26,,,,09638,135,
0585,芻,1,2,,,,09765,140,
0586,薀,1,2,,,,10137,140,
0587-0588,若,2,79,7,,,09788,140,
0589,苦,1,10,,,,09789,140,
0590,09804,1,2,,,,09804,140,
0591,著,1,3,,,,09972,140,
0592-0593,處,1,54,,,,10270,141,
0594,虚,1,2,,,,10272,141,
0595,蛆,2,1,1,,,10347,142,
0596,血,1,3,,,,10605,143,
0597-0598,行,1,56,,,,10614,144,
0599,補,1,3,,,,10714,145,
0600,見,1,12,,,,10831,147,
0601,親,2,11,4,,,10848,147,
0602,覺,1,14,,,,10856,147,
0603,觀,1,15,,,,10859,147,
0604,觸,1,7,,,,10887,148,
0605,言,1,30,,,,10890,149,
0606,設,1,3,,,,10928,149,
0607,詐,1,2,,,,10957,149,
0608,詞,1,3,,,,10967,149,
0609,語,1,5,,,,11017,149,
0610,誡,1,3,,,,11019,149,
0611,説,1,35,,,,11025,149,
0612,許,1,4,,,,10930,149,
0613,調,1,7,,,,11038,149,
0614,請,1,6,,,,11049,149,
0615,論,1,22,,,,11058,149,
0616,諦,1,2,,,,11072,149,
0617-0618,諸,1,58,,,,11085,149,
0619,11122,1,2,,,,11122,149,
0620-0621,謂,1,67,,,,11095,149,
0622,證,1,14,,,,11155,149,
0623,識,1,3,,,,11171,149,
0624,議,2,2,1,,,11195,149,
0625,護,2,3,2,,,11200,149,
0626,讚,1,3,,,,11229,149,
0627,谷,1,2,,,,11234,150,
0628,貪,1,12,,,,11342,154,
0629,資,1,5,,,,11373,154,
0630,賊,1,2,,,,11377,154,
0631,賢,1,2,,,,11397,154,
0632,起,1,31,,,,11461,156,
0633,趣,1,7,,,,11485,156,
0634,足,1,3,,,,11495,157,
0635,趺,1,3,,,,11502,157,
0636,躍,1,4,,,,11689,157,
0637,身,1,30,,,,11715,158,
0638,躬,2,1,1,,,11716,158,
0639,軌,1,2,,,,11744,159,
0640,輕,1,2,,,,11802,159,
0641,轉,1,17,,,,11856,159,
0642,辨,1,2,,,,11908,160,
0643,近,1,6,,,,11948,162,
0644,11958,1,2,,,,11958,162,
0645,退,2,3,1,,,11982,162,
0646,逆,1,2,,,,11986,162,
0647,通,1,4,,,,12000,162,
0648,速,1,5,,,,12003,162,
0649,造,1,2,,,,12004,162,
0650,連,1,3,,,,12010,162,
0651,進,1,5,,,,12022,162,
0652,運,1,10,,,,12043,162,
0653,03157,1,10,,,,03157,060,
0654,過,1,11,,,,12046,162,
0655,道,1,25,,,,12051,162,
0656,達,1,7,,,,12052,162,
0657,遣,1,5,,,,12074,162,
0658,適,1,7,,,,12079,162,
0659,還,1,2,,,,12108,162,
0660,逸,1,4,,,,12027,162,
0661,那,1,26,,,,12134,163,
0662,邪,1,11,,,,12139,163,
0663,都,1,4,,,,12188,163,
0664,重,1,8,,,,12373,166,
0665,野,1,2,,,,12374,166,
0666,量,1,13,,,,12376,166,
0667,鈍,1,4,,,,12406,167,
0668,鉢,1,25,,,,12440,167,
0669,録,1,3,,,,12499,167,
0670,長,1,8,,,,12698,168,
0671,門,1,5,,,,12709,169,
0672,開,1,6,,,,12716,169,
0673,閑,1,4,,,,12722,169,
0674,間,1,10,,,,12724,169,
0675,阿,1,4,,,,12830,170,
0676,際,1,3,,,,12913,170,
0677,隨,1,24,,,,12927,170,
0678,隱,1,2,,,,12935,170,
0679,雖,1,8,,,,12991,172,
0680,雜,2,1,1,,,12997,172,
0681,離,1,26,,,,13001,172,
0682,難,2,6,2,,,13002,172,
0683,青,1,5,,,,13095,174,
0684,非,1,6,,,,13104,175,
0685,音,1,3,,,,13281,180,
0686,順,1,9,,,,13302,181,
0687,領,1,5,,,,13327,181,
0688,類,1,18,,,,13398,181,
0689,顯,1,2,,,,13416,181,
0690,食,2,7,2,,,13503,184,
0691,養,2,4,1,,,13551,184,
0692,餘,1,5,,,,13565,184,
0693,饒,1,5,,,,13641,184,
0694,骨,1,27,,,,13873,188,
0695,骸,1,4,,,,13890,188,
0696,髀,1,2,,,,13906,188,
0697,13914,1,4,,,,13914,188,
0698,髏,1,2,,,,13923,188,
0699,髑,1,2,,,,13929,188,
0700,體,1,2,,,,13934,188,
0701,14659,1,4,,,,14659,198,
0702,黒,1,8,,,,14709,203,
0703,倶,2,3,1,,,00350,009,
0704,儀,2,9,3,,,00516,009,
0705,出,2,3,1,,,00723,017,
0706,初,2,7,2,,,00759,018,
0707,勤,2,7,2,,,00900,019,
0708,勵,2,4,1,,,00911,019,
0709,唯,2,12,4,,,01349,030,
0710,喜,2,9,1,,,01412,030,
0711,屈,2,1,1,,,02485,044,
0712,差,2,9,8,,,02780,048,
0713,律,2,2,1,,,03137,060,
0714,怨,2,8,6,,,03245,061,
0715,恚,2,3,2,,,03278,061,
0716,恭,2,3,1,,,03297,061,
0717,惡,2,5,3,,,03367,061,
0718,愍,2,16,2,,,03402,061,
0719,我,2,26,1,,,03611,062,
0720,斷,2,12,2,,,04381,069,
0721,暴,2,1,1,,,04608,072,
0722,時,2,30,4,,,04523,072,
0723,甚,2,3,2,,,07457,099,
0724,男,1,3,,,,07483,102,
0725,07632,2,3,2,,,07632,104,
0726,瞋,2,7,3,,,07878,109,
0727,策,2,1,1,,,08438,118,
0728,糧,2,4,1,,,08718,119,
0729,經,2,6,1,,,08856,120,
0730,縁,2,45,1,,,08924,120,
0731,縛,2,4,1,,,08963,120,
0732,義,2,15,12,,,09177,123,
0733,老,2,7,1,,,09250,125,
0734,背,1,6,,,,09394,130,
0735,臂,2,1,1,,,09568,130,
0736,膝,2,1,1,,,09541,130,
0737,與,2,15,1,,,09629,134,
0738,色,2,15,9,,,09716,139,
0739,蟲,2,1,1,,,10549,142,
0740,被,2,2,1,,,10683,145,
0741,諍,2,2,2,,,11051,149,
0742,踊,2,3,1,,,11565,157,
0743,違,2,2,1,,,12054,162,
0744,遠,2,14,4,,,12070,162,
0745,邊,2,2,2,,,12115,162,
0746,鎖,2,22,3,,,12573,167,
0747,除,1,5,,,,12855,170,
0748,險,2,2,1,,,12929,170,
0749,靜,2,10,1,,,13103,174,
0750,願,2,12,1,,,13391,181,
0751,顛,2,2,1,,,13395,181,
0752,髮,2,1,1,,,13959,190,
0753,亂,3,5,2,1,,00121,005,
0754,最,3,10,5,4,,04664,073,
0755,解,4,28,5,3,2,10875,148,
,,,,,,,,,
,,,,,,,,,
