統合ID,文字,カード番号,字体数,用例数,部首
05643,正,0170,1,2,077
05809,殿,0171,1,2,079
05834,母,0172,1,10,080
05841,比,0173,1,7,081
06086,波,0174,1,8,085
06128,津,0175,1,2,085
06182,海,0176,1,2,085
06499,漢,0177,1,3,085
07080,物,0178,1,3,093
07072,牛,0179,1,4,093
07192,猪,0180,1,2,094
07466,甥,0181,1,7,100
07478,田,0182,1,5,102
07710,百,0183,1,15,106
07790,目,0184,1,3,109
07827,眞,0185,1,14,109
07941,知,0186,1,7,111
07954,石,0187,1,12,112
08148,福,0188,1,2,113
08256,稻,0189,1,7,115
08635,米,0190,1,2,119
08779,細,0191,1,2,120
09596,臣,0192,1,3,131
09602,自,0193,1,3,132
09629,與,0194,1,5,134
09714,良,0195,1,5,138
09788,若,0196,1,4,140
09851,荒,0197,1,4,140
10549,蟲,0198,1,5,142
10637,衣,0199,1,2,145
11085,諸,0200,1,2,149
11261,豐,0201,1,5,151
11334,財,0202,1,2,154
11398,賣,0203,1,159,154
11495,足,0207,1,14,157
11893,辛,0208,1,5,160
11986,逆,0209,1,2,162
11979,追,0210,1,3,162
12022,進,0211,1,2,162
12004,造,0212,1,26,162
12176,部,0213,1,50,163
12188,都,0214,1,5,163
00843,劍,0215,1,2,018
12830,阿,0216,1,6,170
13020,雲,0217,1,3,173
13304,須,0218,1,3,181
13527,飯,0219,1,11,184
13680,馬,0220,1,3,187
14681,麻,0221,1,49,200
14709,黒,0222,1,14,203
14730,黨,0223,1,4,203
14720,默,0224,1,2,203
S00066,々,0225,〓,10,部外
00092,乎,0226a,2,6,004
00092b,乎,0226b,2,1,004
01185,君,0227a,2,2,030
01185b,君,0227b,2,1,030
02473,尼,0228a,2,3,044
02473b,尼,0228b,2,1,044
03052,弟,0229a,2,9,057
03052b,弟,0229b,2,2,057
04235,政,0230a,2,10,066
04235b,政,0230b,2,1,066
05641,止,0231a,2,3,077
05641b,止,0231b,2,1,077
07535,當,0232a,2,2,102
07535b,當,0232b,2,1,102
08104,祁,0233a,2,3,113
08104b,祁,0233b,2,1,113
09954,萬,0234a,2,1,140
09954b,萬,0234b,2,1,140
