カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0075,01761,032,0,1,,01761
0076,坦,032,0,1,,01690
0077,壞,032,0,1,,01895
0078,城,032,0,1,,01740
0079,壯,033,0,1,,01905
0080,壽,033,0,1,,01913
0081,夕,036,0,1,,01932
0082,夢,036,0,1,,01943
0083,02005,037,0,1,,02005
0084,奧,037,0,1,,02010
0085,奢,037,0,1,,02006
0086,奔,037,0,1,,01986
0087,奴,038,0,1,,02024
0088,孺,039,0,1,,02294
0089,存,039,0,1,,02268
0090,寶,040,0,1,,02407
0091,憲,061,0,1,,03530
0092,牢,093,0,1,,07076
0093,宴,040,0,1,,02347
0094,完,040,0,1,,02313
0095,害,040,0,1,,02346
0096,寄,040,0,1,,02358
0097,寒,040,0,1,,02371
0098,審,040,0,1,,02395
0099,專,041,0,1,,02426
0100,封,041,0,1,,02420
0101,尸,044,0,1,,02469
0102,尺,044,0,1,,02471
0103,州,047,0,1,,02764
0104,巽,049,0,1,,02795
0105,帷,050,0,1,,02849
0106,帥,050,0,1,,02828
0107,布,050,0,1,,02800
0108,帛,050,0,1,,02819
0109,02964,053,0,1,,02964
0110,廉,053,0,1,,02973
0111,度,053,0,1,,02944
0112,廏,053,0,1,,02978
0113,廷,054,0,1,,03004
0114,03020,055,0,1,,03020
0115,弋,056,0,1,,03032
0116,弔,057,0,1,,03043
0117,弦,057,0,1,,03055
0118,彭,059,0,1,,03113
0119,徼,060,0,1,,03175
0120,意,061,0,1,,03395
0121,憾,061,0,1,,03539
0122,愿,061,0,1,,03431
0123,悲,061,0,1,,03335
0124,03210,061,0,1,,03210
0125,惰,061,0,1,,03371
0126,惟,061,0,1,,03365
0127,憮,061,0,1,,03529
0128,愆,061,0,1,,03390
0129,怪,061,0,1,,03248
0130,03334,061,0,1,,03334
0131,息,061,0,1,,03298
0132,慧,061,0,1,,03462
0133,懿,061,0,1,,03594
0134,03226,061,0,1,,03226
0135,慾,061,0,1,,03482
0136,憎,061,0,1,,03497
0137,念,061,0,1,,03214
0138,急,061,0,1,,03243
0139,愈,061,0,1,,03391
0140,應,061,0,1,,03550
0141,慈,061,0,1,,03439
0142,怒,061,0,1,,03229
0143,戈,062,0,1,,03602
0144,戮,062,0,1,,03632
0145,戎,062,0,1,,03607
0146,戲,062,0,1,,03636
0147,戻,063,0,1,,03645
0148,扶,064,0,1,,03686
0149,持,064,0,1,,03780
0150,探,064,0,1,,03874
0151,擯,064,0,1,,04126
0152,擾,064,0,1,,04142
0153,攘,064,0,1,,04183
0154,折,064,0,1,,03711
0155,掲,064,0,1,,03919
0156,03751,064,0,1,,03751
0157,撰,064,0,1,,04070
0158,據,064,0,1,,04106
0159,撤,064,0,1,,04061
0160,掌,064,0,1,,03858
0161,接,064,0,1,,03878
0162,斂,066,0,1,,04309
0163,敘,066,0,1,,04258
0164,斐,067,0,1,,04331
0165,旅,070,0,1,,04402
0166,昌,072,0,1,,04484
0167,晉,072,0,1,,04530
0168,旨,072,0,1,,04450
0169,星,072,0,1,,04499
0170,昭,072,0,1,,04510
0171,昆,072,0,1,,04478
0172,暇,072,0,1,,04577
0173,晨,072,0,1,,04554
0174,暑,072,0,1,,04587
0175,曲,073,0,1,,04651
0176,暦,072,0,1,,04620
0177,曹,073,0,1,,04659
0178,朔,074,0,1,,04686
0179,更,073,0,1,,04654
0180,朕,074,0,1,,04688
0181,膠,130,0,1,,09544
0182,析,075,0,1,,04794
0183,柴,075,0,1,,04884
0184,柔,075,0,1,,04849
0185,格,075,0,1,,04924
0186,梁,075,0,1,,04967
0187,棺,075,0,1,,05063
0188,棣,075,0,1,,05042
0189,榮,075,0,1,,05210
0190,枕,075,0,1,,04801
0191,束,075,0,1,,04750
0192,桴,075,0,1,,04959
0193,材,075,0,1,,04738
0194,林,075,0,1,,04803
0195,杞,075,0,1,,04749
0196,05004,075,0,1,,05004
0197,04730,075,0,1,,04730
0198,朽,075,0,1,,04725
0199,植,075,0,1,,05080
0200,04852,075,0,1,,04852
0201,殯,078,0,1,,05777
0202,殖,078,0,1,,05734
0203,殘,078,0,1,,05737
0204,殿,079,0,1,,05809
0205,濫,085,0,1,,06651
0206,涜,085,0,1,,06681
0207,淺,085,0,1,,06292
0208,05999,085,0,1,,05999
0209,濟,085,0,1,,06641
0210,沛,085,0,1,,06034
0211,涅,085,0,1,,06189
0212,沂,085,0,1,,06008
0213,灌,085,0,1,,06748
0214,永,085,0,1,,05957
0215,汎,085,0,1,,05971
0216,滕,085,0,1,,06448
0217,沖,085,0,1,,06029
0218,漆,085,0,1,,06481
0219,洒,085,0,1,,06118
0220,泥,085,0,1,,06088
0221,溝,085,0,1,,06404
0222,沐,085,0,1,,06020
0223,燕,086,0,1,,06981
0224,火,086,0,1,,06776
0225,煥,086,0,1,,06916
0226,焚,086,0,1,,06867
0227,燧,086,0,1,,06989
0228,片,091,0,1,,07048
0229,版,091,0,1,,07051
0230,07063,091,0,1,,07063
0231,物,093,0,1,,07080
0232,牟,093,0,1,,07074
0233,犂,093,0,1,,07091
0234,獄,094,0,1,,07212
0235,獻,094,0,1,,07250
0236,狄,094,0,1,,07127
0237,獸,094,1,2,,07248
0238,率,095,0,1,,07259
0239,茲,095,0,1,,07258
0240,琢,096,0,1,,07312
0241,07370,096,0,1,,07370
0242,琅,096,0,1,,07306
0243,瑚,096,0,1,,07343
0244,瓢,097,0,1,,07411
0245,甘,099,0,1,,07456
0246,畝,102,0,1,,07514
0247,畫,102,0,1,,07525
0248,畜,102,0,1,,07513
0249,疚,104,0,1,,07565
0250,皋,106,0,1,,07721
0251,皇,106,0,1,,07718
0253,皮,107,0,1,,07739
0254,監,108,0,1,,07781
0255,盪,108,0,1,,07786
0256,盻,109,0,1,,07804
0257,罷,122,0,1,,09133
0258,矩,111,0,1,,07944
0259,08065,112,0,1,,08065
0261,石,112,0,1,,07954
0262,祇,113,0,1,,08107
0263,示,113,0,1,,08097
0264,禦,113,0,1,,08159
0265,禽,114,0,1,,08176
0266,秦,115,0,1,,08204
0267,稻,115,0,1,,08256
0268,移,115,0,1,,08212
0269,秉,115,0,1,,08185
0270,科,115,0,1,,08192
0271,突,116,0,1,,08303
0272,竊,116,0,1,,08353
0273,竈,116,0,1,,08352
0274,08328,116,0,1,,08328
0275,窒,116,0,1,,08315
0276,穿,116,0,1,,08300
0277,端,117,0,1,,08376
0278,算,118,0,1,,08469
0279,箕,118,0,1,,08468
0280,08454,118,0,1,,08454
0281,08630,118,0,1,,08630
0282,答,118,0,1,,08437
0283,箪,118,0,1,,08564
0284,糧,119,0,1,,08718
0285,糞,119,0,1,,08711
0286,精,119,0,1,,08685
0287,經,120,0,1,,08856
0288,繚,120,0,1,,09017
0290,繋,120,0,1,,09030
0291,紂,120,0,1,,08736
0292,08852,120,0,1,,08852
0293,08791,120,0,1,,08791
0294,08841,120,0,1,,08841
0295,08903,120,0,1,,08903
0296,紺,120,0,1,,08788
0297,細,120,0,1,,08779
0298,紅,120,0,1,,08739
0299,綱,120,0,1,,08884
0300,08945,120,0,1,,08945
0301,給,120,0,1,,08822
0302,維,120,0,1,,08879
0303,絢,120,0,1,,08818
0304,繪,120,0,1,,09029
0305,缺,121,0,1,,09085
0306,罕,122,0,1,,09106
0307,罔,122,0,1,,09104
0308,羹,123,0,1,,09191
0309,羞,123,0,1,,09168
0310,羲,123,0,1,,09186
0311,翕,124,0,1,,09218
0312,翔,124,0,1,,09216
0313,羽,124,0,1,,09195
0314,09199,124,0,1,,09199
0315,考,125,0,1,,09251
0316,09285,127,0,1,,09285
0317,09285,127,0,1,,09289
0318,聰,128,0,1,,09326
0319,聚,128,0,1,,09314
0320,肅,129,0,1,,09344
0321,膾,130,0,1,,09564
0322,肥,130,0,1,,09366
0323,腥,130,0,1,,09499
0324,脯,130,0,1,,09466
0325,臭,132,0,1,,09605
0326,舌,135,0,1,,09636
0327,舟,137,0,1,,09657
0328,苗,140,0,1,,09778
0329,荏,140,0,1,,09848
0330,莞,140,0,1,,09880
0331,菜,140,0,1,,09910
0332,蒙,140,0,1,,10008
0333,薑,140,0,1,,10149
0334,荊,140,0,1,,09844
0335,薛,140,0,1,,10154
0336,薦,140,0,1,,10160
0337,藥,140,0,1,,10204
0338,09871,140,0,1,,09871
0339,荀,140,0,1,,09837
0340,藻,140,0,1,,10217
0341,芸,140,0,1,,09763
0342,10047,140,0,1,,10047
0343,10119,140,0,1,,10119
0344,菲,140,0,1,,09924
0345,虐,141,0,1,,10266
0346,號,141,0,1,,10276
0347,蠻,142,0,1,,10603
0348,衡,144,0,1,,10631
0349,袍,145,0,1,,10667
0350,袂,145,0,1,,10662
0351,襄,145,0,1,,10775
0352,10789,145,0,1,,10789
0353,表,145,0,1,,10643
0354,襁,145,0,1,,10773
0355,裨,145,0,1,,10720
0356,被,145,0,1,,10683
0357,衽,145,0,1,,10657
0358,10654,145,0,1,,10654
0359,裁,145,0,1,,10696
0360,要,146,0,1,,10822
0361,覿,147,0,1,,10858
0362,覺,147,0,1,,10856
0363,角,148,0,1,,10860
0364,11083,149,0,1,,11083
0365,讀,149,0,1,,11207
0366,詠,149,0,1,,10969
0367,誅,149,0,1,,10999
0368,記,149,0,1,,10914
0369,註,149,0,1,,10939
0370,誄,149,0,1,,10998
0371,託,149,0,1,,10913
0372,誘,149,0,1,,11012
0373,訐,149,0,1,,10905
0374,10911,149,0,1,,10911
0375,謗,149,0,1,,11116
0376,誣,149,0,1,,11021
0377,證,149,0,1,,11155
0378,豚,152,0,1,,11269
0379,豹,153,0,1,,11293
0380,貊,153,0,1,,11309
0381,責,154,0,1,,11344
0382,貪,154,0,1,,11342
0383,賚,154,0,1,,11391
0384,賦,154,0,1,,11403
0385,貳,154,0,1,,11354
0386,趙,156,0,1,,11479
0387,起,156,0,1,,11461
0388,躁,157,0,1,,11675
0389,踐,157,0,1,,11569
0390,輔,159,0,1,,11801
0391,輅,159,0,1,,11792
0392,11807,159,0,1,,11807
0393,輟,159,0,1,,11817
0394,辰,161,0,1,,11917
0395,追,162,0,1,,11979
0396,逮,162,0,1,,12019
0397,迹,162,0,1,,11976
0398,造,162,0,1,,12004
0399,迂,162,0,1,,11935
0400,逆,162,0,1,,11986
0401,逞,162,0,1,,12002
0402,送,162,0,1,,11983
0403,迅,162,0,1,,11937
0404,邇,162,0,1,,12112
0405,通,162,0,1,,12000
0406,迷,162,0,1,,11974
0407,郡,163,0,1,,12170
0408,都,163,0,1,,12188
0409,12245,163,0,1,,12181
0410,醯,164,0,1,,12345
0411,醤,164,0,1,,12342
0412,醫,164,0,1,,12341
0413,鏗,167,0,1,,12606
0414,鐸,167,0,1,,12657
0415,釜,167,0,1,,12385
0416,釣,167,0,1,,12388
0417,鍾,167,0,1,,12563
0418,錦,167,0,1,,12523
0419,開,169,0,1,,12716
0420,閾,169,0,1,,12760
0421,閑,169,0,1,,12722
0422,陪,170,0,1,,12859
0423,隨,170,0,1,,12927
0424,隅,170,0,1,,12883
0426,際,170,0,1,,12913
0427,附,170,0,1,,12834
0428,陶,170,0,1,,12868
0429,12827,170,0,1,,12827
0430,防,170,0,1,,12822
0431,離,172,0,1,,13001
0432,雉,172,0,1,,12965
0433,雌,172,0,1,,12971
0434,霸,173,0,1,,13078
0435,雷,173,0,1,,13023
0436,靜,174,0,1,,13103
0437,鞭,177,0,1,,13192
0438,韋,178,0,1,,13237
0439,13261,178,0,1,,13261
0440,領,181,0,1,,13327
0441,頌,181,0,1,,13307
0442,須,181,0,1,,13304
0443,頗,181,0,1,,13325
0444,13389,181,0,1,,13389
0445,13597,184,0,1,,13597
0446,饐,184,0,1,,13639
0447,13520,184,0,1,,13520
0448,13612,184,0,1,,13612
0449,饉,184,0,1,,13630
0450,駢,187,0,1,,13780
0451,13728,187,0,1,,13728
0452,騎,187,0,1,,13787
0453,駕,187,0,1,,13724
0454,13774,187,0,1,,13774
0455,13809,187,0,1,,13809
0456,髮,190,0,1,,13959
0457,14033,191,0,1,,14033
0458,體,188,0,1,,13934
0459,融,142,0,1,,10500
0460,魏,194,0,1,,14084
0461,14080,194,0,1,,14080
0462,麑,198,0,1,,14641
0463,麻,200,0,1,,14681
0464,黄,201,0,1,,14693
0465,黍,202,0,1,,14699
0466,默,203,0,1,,14720
0467,黻,204,0,1,,14746
0468,14782,207,0,1,,14782
0469,齒,211,0,1,,14833
0470,龜,213,0,1,,14887
0471,一,001,1,30,,00001
0472,七,001,1,6,,00004
0473,丈,001,1,2,,00006
0474-0475,三,001,1,63,,00007
0476,上,001,1,25,,00008
0477,下,001,1,39,,00009
0478-0486,不,001,1,530,,00013
0487,且,001,1,10,,00020
0488,世,001,1,16,,00025
0489,丘,001,1,16,,00026
0490,中,002,1,28,,00051
0491,主,003,1,4,,00070
0492-0501,之,004,1,563,,00088
0502,久,004,1,9,,00085
0503,乃,004,1,3,,00078
0504,乘,004,1,8,,00102
0505-0512,也,005,1,456,,00109
0513,亂,005,1,13,,00121
0514,乞,005,1,2,,00108
0515,九,005,1,4,,00107
0516-0518,乎,004,1,144,,00092
0519,予,006,1,26,,00126
0520,事,006,1,55,,00128
0521,云,007,1,14,,00133
0522,于,007,1,10,,00132
0523,二,007,1,15,,00129
0524,五,007,1,14,,00135
0525,交,008,1,3,,00152
0526,亦,008,1,43,,00154
0527,亡,008,1,9,,00150
0528,儉,009,1,4,,00524
0529,今,009,1,22,,00175
0530,傳,009,1,5,,00468
0531,便,009,1,3,,00321
0532,來,009,1,9,,00282
0533-0536,以,009,1,185,,00194
0537-0540,人,009,1,194,,00168
0541-0542,何,009,1,105,,00250
0543,侯,009,1,9,,00313
0544,位,009,1,6,,00243
0545,伯,009,1,19,,00228
0546,仲,009,1,31,,00200
0547,仰,009,1,2,,00199
0548-0549,仁,009,1,94,,00170
0550,伐,009,1,5,,00218
0551,他,009,1,4,,00183
0552,仕,009,1,8,,00182
0553,偃,009,1,3,,00402
0554,侍,009,1,7,,00288
0555,偲,009,1,4,,00428
0556,側,009,1,2,,00429
0557,侃,009,1,2,,00281
0558,似,009,1,3,,00235
0559,優,009,1,3,,00542
0560,任,009,1,4,,00206
0561,倫,009,1,2,,00391
0562,侮,009,1,2,,00312
0563,儼,009,1,2,,00555
0564,傷,009,1,4,,00473
0565,倦,009,1,5,,00387
0566,作,009,1,11,,00256
0567,佛,009,1,2,,00255
0568,令,009,1,8,,00193
0569,使,009,1,39,,00279
0570,佞,009,1,10,,00258
0571,備,009,1,2,,00455
0572,儒,009,1,2,,00530
0573,信,009,1,36,,00345
0574,億,009,1,2,,00520
0575,先,010,1,18,,00566
0576,兄,010,1,11,,00561
0577,免,010,1,6,,00570
0578,克,010,1,3,,00568
0579,兢,010,1,2,,00581
0580,兩,011,1,2,,00591
0581,内,011,1,10,,00585
0582,入,011,1,17,,00582
0583,公,012,1,53,,00596
0584,六,012,1,9,,00597
0585,兮,012,1,5,,00598
0586,共,012,1,4,,00599
0587,兵,012,1,3,,00602
0588-05911,其,012,1,237,,00605
0592,冉,013,1,14,,00624
0593,冠,014,1,3,,00646
0594,冤,014,1,7,,00650
0595,次,076,1,7,,05558
0596,出,017,1,31,,00723
0597-0598,則,018,1,108,,00789
0599,利,018,1,10,,00767
0600,剛,018,1,5,,00803
0601,分,018,1,3,,00734
0602,切,018,1,6,,00735
0603,前,018,1,6,,00794
0604,別,018,1,2,,00763
0605,刑,018,1,4,,00746
0606,割,018,1,2,,00820
0607,到,018,1,2,,00769
0608,加,019,1,7,,00858
0609,力,019,1,13,,00856
0610,功,019,1,3,,00857
0611,勃,019,1,2,,00877
0612,勝,019,1,6,,00893
0613,勸,019,1,2,,00913
0614,勇,019,1,14,,00881
0615,動,019,1,6,,00887
0616,勞,019,1,8,,00894
0617,勿,020,1,13,,00919
0618,匡,022,1,3,,00953
0619,匹,023,1,3,,00975
0620,千,024,1,5,,00987
0621,升,024,1,8,,00991
0622,博,024,1,9,,01016
0623,南,024,1,12,,01010
0624,十,024,1,16,,00985
0625,即,026,1,2,,01049
0626,卿,026,1,2,,01052
0627,危,026,1,7,,01035
0628,厭,027,1,9,,01088
0629,01095,027,1,5,,01095
0630,原,027,1,2,,01074
0631,厚,027,1,5,,01068
0632,參,028,1,3,,01104
0633,去,028,1,12,,01101
0634,及,029,1,26,,01111
0635,友,029,1,24,,01112
0636,受,029,1,7,,01128
0637,取,029,1,9,,01127
0638,叔,029,1,15,,01124
0639,又,029,1,13,,01108
0640,反,029,1,6,,01116
0641,啓,030,0,1,,01373
0642,同,030,1,8,,01174
0643,呉,030,1,2,,01207
0644,和,030,1,8,,01263
0645,司,030,1,9,,01163
0646-0648,可,030,1,134,,01154
0649,名,030,1,7,,01175
0650,各,030,1,7,,01168
0651,喪,030,1,19,,01430
0652-0653,吾,030,1,104,,01217
0654,唯,030,1,17,,01349
0655,噫,030,1,3,,01524
0656,右,030,0,1,,01158
0657,合,030,1,2,,01170
0658,哀,030,1,12,,01295
0659,喟,030,1,2,,01416
0660,鳴,196,1,2,,14379
0661,商,030,1,4,,01363
0662,吉,030,0,1,,01172
0663,周,030,1,21,,01235
0664,哉,030,1,60,,01305
0665,史,030,1,3,,01157
0666,告,030,1,19,,01219
0667,喩,030,1,2,,01421
0668,召,030,1,9,,01150
0669,句,030,1,2,,01143
0670,哂,030,1,3,,01298
0671,口,030,1,2,,01141
0672,唐,030,1,2,,01342
0673,古,030,1,13,,01142
0674,善,030,1,43,,01395
0675,命,030,1,20,,01252
0676-0678,君,030,1,143,,01185
0679-0680,問,030,1,103,,01369
0681,器,030,1,6,,01523
0682,喜,030,1,4,,01412
0683,哭,030,1,2,,01323
0684,嘗,030,1,10,,01479
0685,因,031,1,2,,01611
0686,圖,031,1,2,,01647
0687,回,031,1,11,,01609
0688,四,031,1,18,,01607
0689,困,031,1,2,,01623
0690,圃,031,1,2,,01633
0691,固,031,1,10,,01627
0692,國,031,1,10,,01639
0693,在,032,1,44,,01659
0694,執,032,1,14,,01755
0695,土,032,1,2,,01654
0696,地,032,1,3,,01666
0697,堯,032,1,4,,01793
0698,塞,032,1,2,,01823
0699,01693,032,1,2,,01693
0700,報,032,1,2,,01796
0701,圭,032,1,2,,01663
0702,堂,032,1,2,,01765
0703,坐,032,1,5,,01682
0704,均,032,1,2,,01674
0705,塗,032,1,2,,01818
0706,堅,032,1,2,,01767
0707,士,033,1,19,,01903
0708,夏,035,1,25,,01927
0709,多,036,1,20,,01938
0710,夜,036,1,3,,01939
0711,天,037,1,46,,01947
0712,大,037,1,48,,01946
0713,奪,037,1,4,,02013
0714,夭,037,1,3,,01952
0715,夷,037,1,9,,01961
0716-0717,夫,037,1,95,,01949
0718,奚,037,1,10,,01992
0719,女,038,1,16,,02022
0720,姓,038,1,4,,02077
0721,婦,038,1,2,,02155
0722,媚,038,1,2,,02177
0723,妻,038,1,2,,02061
0724,好,038,1,52,,02029
0725,始,038,1,6,,02069
0726-0728,如,038,1,133,,02031
0729,威,038,1,3,,02105
0730-0744,子,039,1,862,,02262
0745-0746,孔,039,1,68,,02264
0747,孫,039,1,16,,02282
0748,季,039,1,21,,02276
0749,孟,039,1,8,,02275
0750,孝,039,1,18,,02273
0751,孰,039,1,14,,02284
0752,孤,039,1,2,,02277
0753,官,040,1,3,,02323
0754,寡,040,1,8,,02386
0755,室,040,1,9,,02332
0756,宮,040,1,4,,02342
0757,容,040,1,7,,02352
0758,寮,040,1,3,,02399
0759,宿,040,1,5,,02355
0760,客,040,1,2,,02331
0761,宰,040,1,16,,02344
0762,定,040,1,3,,02325
0763,寧,040,1,3,,02392
0764,察,040,1,2,,02383
0765,宋,040,1,2,,02312
0766,守,040,1,6,,02308
0767,實,040,1,2,,02390
0768,富,040,1,16,,02366
0769,安,040,1,15,,02309
0770,寛,040,1,4,,02397
0771,寢,040,1,5,,02387
0772,宗,040,1,8,,02322
0773,家,040,1,8,,02349
0774,對,041,1,32,,02435
0775,射,041,1,5,,02422
0776,尊,041,1,3,,02429
0777,尉,041,1,3,,02427
0778,將,041,1,18,,02425
0779,小,042,1,40,,02439
0780,少,042,1,8,,02440
0781,尚,042,1,4,,02446
0782,尤,043,1,2,,02456
0783,就,043,1,3,,02464
0784,尼,044,1,4,,02473
0785,屏,044,1,2,,02499
0786,尹,044,1,5,,02470
0787,履,044,1,2,,02508
0788,屡,044,1,3,,02504
0789,居,044,1,28,,02482
0790,崩,046,1,2,,02640
0791,崔,046,1,3,,02617
0792,山,046,1,7,,02528
0793,巍,046,1,6,,02752
0794,崇,046,1,4,,02607
0795,川,047,1,2,,02762
0796,巫,048,1,3,,02779
0797,左,048,1,3,,02774
0798,工,048,1,2,,02773
0799,巧,048,1,2,,02775
0800,己,049,1,23,,02782
0801,已,049,1,45,,02783
0802,巷,049,1,2,,02792
0803,帝,050,1,3,,02820
0804,師,050,1,17,,02835
0805,市,050,1,2,,02799
0806,常,050,1,3,,02847
0807,希,050,1,5,,02806
0808,席,050,1,4,,02839
0809,年,051,1,18,,02900
0810,幸,051,1,3,,02903
0811,平,051,1,2,,02899
0812,干,051,1,3,,02897
0813,幾,052,1,5,,02915
0814,廢,053,1,8,,02992
0815,庸,053,1,2,,02963
0816,廟,053,1,8,,02989
0817,庭,053,0,1,,02952
0818,02975,053,1,2,,02975
0819,庶,053,1,4,,02961
0820,康,053,1,6,,02962
0821,棄,075,1,5,,05014
0822,廿,024,1,3,,00988
0823,式,056,1,2,,03037
0824,弘,057,1,4,,03047
0825,弟,057,1,16,,03052
0826,張,057,1,21,,03065
0827,弑,056,1,3,,03039
0828,弗,057,1,5,,03046
0829,彌,057,1,2,,03084
0830,弓,057,1,5,,03042
0831,彬,059,1,2,,03112
0832,彫,059,1,3,,03111
0833,御,060,1,3,,03153
0834,徳,060,1,38,,03172
0835,後,060,1,35,,03138
0836,彼,060,1,3,,03124
0837,征,060,1,2,,03129
0838,徴,060,1,3,,03171
0839,循,060,1,3,,03160
0840,復,060,1,9,,03159
0841,待,060,1,3,,03132
0842,往,060,1,11,,03128
0843,徙,060,1,2,,03148
0844,得,060,1,50,,03145
0845,徒,060,1,6,,03143
0846,從,060,1,41,,03151
0847,微,060,1,5,,03165
0848,徹,060,1,2,,03173
0849,恐,061,1,3,,03272
0850,思,061,1,20,,03239
0851,忘,061,1,4,,03196
0852,恂,061,1,2,,03264
0853,惑,061,1,9,,03355
0854,忠,061,1,17,,03203
0855-0856,必,061,1,63,,03180
0857,愼,061,1,4,,03429
0858,情,061,1,2,,03348
0859,志,061,1,16,,03194
0860,怡,061,1,6,,03241
0861,慮,061,1,3,,03466
0862,慟,061,1,4,,03455
0863,恕,061,1,2,,03275
0864,懷,061,1,7,,03585
0865,憤,061,1,2,,03518
0866,愉,061,1,2,,03392
0867,愛,061,1,9,,03405
0868,忍,061,0,1,,03184
0869,懼,061,1,7,,03589
0870,愬,061,1,3,,03418
0871,惜,061,1,2,,03364
0872,慝,061,1,2,,03454
0873,忽,061,1,3,,03219
0874,慍,061,1,3,,03410
0875,恆,061,1,5,,03267
0876,悔,061,1,3,,03320
0877,憚,061,1,2,,03511
0878,患,061,1,14,,03329
0879,愚,061,1,8,,03404
0880,性,061,1,2,,03244
0881,憂,061,1,15,,03486
0882,忿,061,1,3,,03220
0883,心,061,1,5,,03179
0884,怨,061,1,15,,03245
0885,慢,061,1,3,,03458
0886,惠,061,1,10,,03366
0887,恥,061,1,16,,03289
0888,惡,061,1,38,,03367
0889,恭,061,1,11,,03297
0890,或,062,1,14,,03617
0891,我,062,1,50,,03611
0892,成,062,1,24,,03610
0893,戚,062,1,2,,03618
0894,戒,062,1,5,,03612
0895,戰,062,1,6,,03633
0896,所,063,1,46,,03647
0897,戸,063,1,2,,03640
0898,撃,064,1,3,,04087
0899,拒,064,1,3,,03747
0900,擇,064,1,4,,04085
0901,摯,064,1,2,,04013
0902,攝,064,1,2,,04192
0903,授,064,1,2,,03855
0904,揖,064,1,4,,03901
0905,損,064,1,5,,03939
0906,拜,064,1,6,,03761
0907,指,064,1,2,,03783
0908,手,064,1,5,,03659
0909,才,064,1,7,,03661
0910,抑,064,1,4,,03704
0911,承,064,1,2,,03690
0912,變,066,1,7,,04319
0913,散,066,1,2,,04280
0914,攻,066,1,3,,04231
0915,敗,066,1,2,,04268
0916,放,066,1,4,,04233
0917,故,066,1,12,,04243
0918,敢,066,1,17,,04277
0919,敬,066,1,19,,04286
0920,政,066,1,38,,04235
0921,敏,066,1,9,,04262
0922,敝,066,1,2,,04272
0923,改,066,1,14,,04228
0924,教,066,1,6,,04261
0925,數,066,1,5,,04298
0926,文,067,1,38,,04321
0927,新,069,1,3,,04376
0928-0929,斯,069,1,62,,04373
0930-0932,於,070,1,146,,04389
0933,方,070,1,14,,04385
0934,施,070,1,6,,04391
0935,既,071,1,14,,04442
0936,春,072,1,2,,04503
0937,晏,072,1,2,,04533
0938,昔,072,1,4,,04490
0939,景,072,1,4,,04558
0940,明,072,1,9,,04485
0941,易,072,1,12,,04489
0942,時,072,1,12,,04523
0943,暴,072,1,3,,04608
0944,晝,072,1,2,,04542
0945,日,072,1,20,,04446
0946,是,072,1,54,,04512
0947-0958,曰,073,1,670,,04650
0959,曾,073,1,19,,04661
0960,會,073,1,2,,04667
0961,書,073,1,5,,04657
0962,期,074,1,6,,04699
0963,朝,074,1,16,,04696
0964,月,074,1,9,,04673
0965,服,074,1,17,,04679
0966,望,074,1,3,,04693
0967,朋,074,1,7,,04676
0968-0971,有,074,1,182,,04674
0972,木,075,1,5,,04707
