JIS文字,カード番号,字体数,用例数1,用例数2,用例数3,用例数4,用例数5,大字典,大漢和,部首
垣,0119,0,,,,,,01727,M05060,032
城,0120,0,,,,,,01740,M05120,032
01747,0121,0,,,,,,01747,M05164,032
基,0122,0,,,,,,01758,M05197,032
堂,0123,0,,,,,,01765,M05207,032
坎,0124,0,,,,,,01680,M04928,032
堪,0125,0,,,,,,01789,M05266,032
堯,0126,0,,,,,,01793,M05272,032
塗,0127,0,,,,,,01818,M05338,032
麈,0128,0,,,,,,14634,M47616,198
墨,0129,0,,,,,,01859,M05469,032
壯,0130,0,,,,,,01905,M05643,033
壽,0131,0,,,,,,01913,M05672,033
夜,0132,0,,,,,,01939,M05763,036
失,0133,0,,,,,,01957,M05844,037
夾,0134,0,,,,,,01966,M05867,037
奇,0135,0,,,,,,01972,M05892,037
妄,0136,0,,,,,,02033,M06063,038
02040,0137,0,,,,,,02040,M06082,038
娃,0138,0,,,,,,02106,M06262,038
娑,0139,0,,,,,,02110,M06294,038
娵,0140,0,,,,,,02133,M06364,038
02146,0141,0,,,,,,02146,M06410,038
媒,0142,0,,,,,,02175,M06498,038
嫉,0143,0,,,,,,02201,M06611,038
嫣,0144,0,,,,,,02213,M06659,038
02218,0145,0,,,,,,02218,M06679,038
02250,0146,0,,,,,,02250,M06834,038
孔,0147,0,,,,,,02264,M06933,039
孟,0148,0,,,,,,02275,M06960,039
孰,0149,0,,,,,,02284,M06995,039
學,0150,0,,,,,,02293,M07033,039
宇,0151,0,,,,,,02307,M07067,040
定,0152,0,,,,,,02325,M07109,040
家,0153,0,,,,,,02349,M07169,040
寒,0154,0,,,,,,02371,M07239,040
寧,0155,0,,,,,,02392,M07296,040
寶,0156,0,,,,,,02407,M07376,040
射,0157,0,,,,,,02422,M07434,041
尊,0158,0,,,,,,02429,M07445,041
對,0159,0,,,,,,02435,M07457,041
小,0160,0,,,,,,02439,M07473,042
尼,0161,0,,,,,,02473,M07635,044
尾,0162,0,,,,,,02478,M07650,044
居,0163,0,,,,,,02482,M07663,044
02511,0164,0,,,,,,02511,M07811,044
屮,0165,0,,,,,,02517,M07825,045
坂,0166,0,,,,,,01672,M04910,032
02544,0167,0,,,,,,02544,M07961,046
02563,0168,0,,,,,,02563,M07993,046
02567,0169,0,,,,,,02567,M08028,046
02577,0170,0,,,,,,02577,M08055,046
峨,0171,0,,,,,,02583,M08071,046
02595,0172,0,,,,,,02595,M08113,046
崑,0173,0,,,,,,02614,M08173,046
崔,0174,0,,,,,,02617,M08178,046
崙,0175,0,,,,,,02623,M08183,046
02629,0176,0,,,,,,02629,M08196,046
崟,0177,0,,,,,,02631,M08199,046
崢,0178,0,,,,,,02633,M08203,046
02646,0179,0,,,,,,02646,M08255,046
嵌,0180,0,,,,,,02656,M08279,046
02659,0181,0,,,,,,02659,M08285,046
嵩,0182,0,,,,,,02670,M08348,046
嵯,0183,0,,,,,,02676,M08363,046
02677,0184,0,,,,,,02677,M08366,046
02680,0185,0,,,,,,02680,M08381,046
02692,0186,0,,,,,,02692,M08414,046
02697,0187,0,,,,,,02697,M08430,046
02698,0188,0,,,,,,02698,M08431,046
02706,0189,0,,,,,,02706,M08464,046
02711,0190,0,,,,,,02711,M08477,046
02714,0191,0,,,,,,02714,M08481,046
02718,0192,0,,,,,,02718,M08488,046
02726,0193,0,,,,,,02726,M08513,046
嶽,0194,0,,,,,,02737,M08566,046
巍,0195,0,,,,,,02752,M08626,046
州,0196,0,,,,,,02764,M08678,047
巨,0197,0,,,,,,02776,M08722,048
巫,0198,0,,,,,,02779,M08728,048
02787,0199,0,,,,,,02787,M08747,049
席,0200,0,,,,,,02839,M08926,050
帷,0201,0,,,,,,02849,M08954,050
干,0202,0,,,,,,02897,M09165,051
年,0203,2,1,1,,,,02900,M09168,051
并,0204,0,,,,,,02902,M09175,051
底,0205,0,,,,,,02932,M09262,053
庖,0206,0,,,,,,02933,M09266,053
庚,0207,0,,,,,,02936,M09278,053
廚,0209,0,,,,,,02985,M09479,053
廟,0210,2,1,1,,,,02989,M09489,053
廣,0211,0,,,,,,02993,M09493,053
廩,0212,0,,,,,,02997,M09515,053
弋,0213,0,,,,,,03032,M09656,056
式,0214,0,,,,,,03037,M09663,056
戍,0215,0,,,,,,03606,M11537,062
弔,0216,0,,,,,,03043,M09698,057
弗,0217,0,,,,,,03046,M09708,057
弦,0218,0,,,,,,03055,M09754,057
弩,0219,0,,,,,,03058,M09760,057
弱,0220,0,,,,,,03064,M09791,057
弸,0221,0,,,,,,03067,M09817,057
03083,0222,0,,,,,,03083,M09874,057
03087,0223,0,,,,,,03087,M09906,057
刑,0224,0,,,,,,00746,M01886,018
待,0225,0,,,,,,03132,M10085,060
律,0226,0,,,,,,03137,M10097,060
徐,0227,0,,,,,,03141,M10110,060
徑,0228,0,,,,,,03142,M10118,060
徙,0229,0,,,,,,03148,M10142,060
徠,0230,0,,,,,,03152,M10155,060
03157,0231,0,,,,,,03157,M10174,060
微,0232,0,,,,,,03165,M10203,060
徽,0233,0,,,,,,03177,M10267,060
心,0234,0,,,,,,03179,M10295,061
03218,0235,0,,,,,,03218,M10403,061
怖,0236,0,,,,,,03233,M10450,061
怪,0237,0,,,,,,03248,M10483,061
悉,0238,0,,,,,,03312,M10635,061
情,0239,0,,,,,,03348,M10756,061
惑,0240,0,,,,,,03355,M10789,061
03369,0241,0,,,,,,03369,M10815,061
想,0242,0,,,,,,03373,M10858,061
態,0243,0,,,,,,03442,M11052,061
慘,0244,0,,,,,,03451,M11094,061
慨,0245,0,,,,,,03463,M11122,061
懷,0246,0,,,,,,03585,M11456,061
戒,0247,0,,,,,,03612,M11548,062
戚,0248,0,,,,,,03618,M11594,062
戸,0249,0,,,,,,03640,M11696,063
房,0250,0,,,,,,03646,M11714,063
扁,0251,0,,,,,,03649,M11724,063
手,0252,0,,,,,,03659,M11768,064
技,0253,0,,,,,,03691,M11855,064
抗,0254,0,,,,,,03710,M11889,064
03713,0255,0,,,,,,03713,M11905,064
抵,0256,0,,,,,,03722,M11921,064
03726,0257,0,,,,,,03726,M11931,064
拂,0258,0,,,,,,03730,M11936,064
03751,0259,0,,,,,,03751,M11960,064
括,0260,0,,,,,,03764,M11988,064
指,0261,0,,,,,,03783,M12034,064
03792,0263,0,,,,,,03792,M12054,064
挾,0264,0,,,,,,03809,M12118,064
03823,0265,0,,,,,,03823,M12148,064
捷,0266,0,,,,,,03844,M12216,064
掉,0267,0,,,,,,03856,M12243,064
掌,0268,0,,,,,,03858,M12248,064
掘,0269,0,,,,,,03865,M12264,064
探,0270,0,,,,,,03874,M12276,064
控,0271,0,,,,,,03879,M12283,064
掩,0272,0,,,,,,03881,M12285,064
揖,0273,0,,,,,,03901,M12351,064
搏,0274,0,,,,,,03941,M12466,064
搜,0275,0,,,,,,03952,M12486,064
摩,0276,0,,,,,,04009,M12613,064
04027,0277,0,,,,,,04027,M12649,064
04028,0278,0,,,,,,04028,M12650,064
04036,0279,0,,,,,,04036,M12677,064
04056,0280,0,,,,,,04056,M12719,064
撫,0281,0,,,,,,04066,M12743,064
播,0282,0,,,,,,04069,M12747,064
04113,0283,0,,,,,,04113,M12859,064
擬,0284,0,,,,,,04122,M12870,064
攀,0285,0,,,,,,04146,M12926,064
04151,0286,0,,,,,,04151,M12932,064
攘,0287,0,,,,,,04183,M12989,064
攫,0288,0,,,,,,04210,M13043,064
改,0289,0,,,,,,04228,M13114,066
放,0290,0,,,,,,04233,M13133,066
敘,0291,0,,,,,,04258,M13206,066
敢,0292,0,,,,,,04277,M13260,066
整,0293,0,,,,,,04303,M13394,066
變,0294,0,,,,,,04319,M36117,066
斬,0295,0,,,,,,04369,M13555,069
04372,0296,0,,,,,,04372,M13562,069
新,0297,0,,,,,,04376,M13572,069
04392,0298,0,,,,,,04392,M13632,070
旋,0299,0,,,,,,04406,M13656,070
族,0300,0,,,,,,04412,M13661,070
04415,0301,0,,,,,,04415,M13668,070
04419,0302,0,,,,,,04419,M13678,070
04436,0303,0,,,,,,04436,M13709,070
04481,0304,0,,,,,,04481,M13795,072
昌,0305,0,,,,,,04484,M13803,072
易,0306,0,,,,,,04489,M13814,072
昏,0307,0,,,,,,04486,M13806,072
晏,0308,0,,,,,,04533,M13914,072
暢,0309,0,,,,,,04600,M14095,072
暮,0310,0,,,,,,04606,M14128,072
曜,0311,0,,,,,,04636,M14227,072
更,0312,0,,,,,,04654,M14283,073
朋,0314,0,,,,,,04676,M14340,074
朔,0315,0,,,,,,04686,M14359,074
期,0316,0,,,,,,04699,M14378,074
末,0317,0,,,,,,04712,M14420,075
本,0318,0,,,,,,04713,M14421,075
杖,0319,0,,,,,,04743,M14469,075
松,0320,0,,,,,,04780,M14516,075
枳,0321,0,,,,,,04817,M14583,075
04842,0322,0,,,,,,04842,M14615,075
柏,0323,0,,,,,,04850,M14617,075
柘,0324,0,,,,,,04851,M14626,075
柞,0325,0,,,,,,04857,M14636,075
柱,0326,0,,,,,,04871,M14660,075
04891,0327,0,,,,,,04891,M14696,075
校,0328,1,2,,,,,04904,M14713,075
根,0329,0,,,,,,04922,M14745,075
格,0330,0,,,,,,04924,M14749,075
案,0331,0,,,,,,04933,M14762,075
桓,0332,0,,,,,,04942,M14774,075
梧,0333,0,,,,,,04992,M14872,075
械,0334,0,,,,,,05001,M14882,075
採,0335,0,,,,,,03872,M12274,064
棲,0336,0,,,,,,05056,M14980,075
椎,0337,0,,,,,,05081,M15024,075
05209,0338,0,,,,,,05209,M15272,075
榱,0339,0,,,,,,05213,M15276,075
樂,0340,0,,,,,,05279,M15399,075
樵,0341,0,,,,,,05319,M15489,075
橋,0342,0,,,,,,05348,M15526,075
機,0343,0,,,,,,05368,M15561,075
櫨,0344,0,,,,,,05482,M15844,075
權,0345,0,,,,,,05529,M15926,075
欒,0346,0,,,,,,05539,M15947,075
欣,0347,0,,,,,,05561,M16008,076
欷,0348,0,,,,,,05583,M16087,076
歌,0349,0,,,,,,05609,M16167,076
05634,0350,0,,,,,,05634,M16228,076
歩,0351,0,,,,,,05645,M16264,077
母,0352,0,,,,,,05834,M16723,080
毎,0353,0,,,,,,05836,M16725,080
求,0354,0,,,,,,05964,M17105,085
汨,0355,0,,,,,,05990,M17152,085
06012,0357,0,,,,,,06012,M17187,085
沈,0358,0,,,,,,06015,M17189,085
沐,0359,0,,,,,,06020,M17201,085
沓,0360,0,,,,,,06025,M17206,085
沙,0361,0,,,,,,06031,M17212,085
06073,0362,0,,,,,,06073,M17289,085
泣,0363,0,,,,,,06087,M17309,085
注,0364,0,,,,,,06091,M17316,085
洋,0365,0,,,,,,06111,M17363,085
洛,0366,0,,,,,,06123,M17383,085
06132,0367,0,,,,,,06132,M17400,085
浩,0368,0,,,,,,06172,M17479,085
浪,0369,0,,,,,,06173,M17482,085
浴,0370,0,,,,,,06179,M17496,085
浸,0371,0,,,,,,06183,M17505,085
06191,0372,0,,,,,,06191,M17526,085
渉,0373,0,,,,,,06193,M17530,085
06194,0374,0,,,,,,06194,M17532,085
涕,0375,0,,,,,,06202,M17543,085
液,0376,0,,,,,,06219,M17586,085
淋,0377,0,,,,,,06243,M17626,085
淑,0378,0,,,,,,06246,M17634,085
06249,0379,0,,,,,,06249,M17639,085
06261,0380,0,,,,,,06261,M17654,085
淡,0381,0,,,,,,06266,M17660,085
渙,0382,0,,,,,,06311,M17757,085
湊,0383,0,,,,,,06355,M17822,085
湛,0384,0,,,,,,06365,M17846,085
溝,0385,0,,,,,,06404,M17944,085
溥,0386,0,,,,,,06409,M17957,085
溷,0387,0,,,,,,06421,M17986,085
滂,0388,0,,,,,,06428,M18003,085
06429,0389,0,,,,,,06429,M18004,085
滅,0390,0,,,,,,06432,M18008,085
06433,0391,0,,,,,,06433,M18010,085
滋,0392,0,,,,,,06437,M18021,085
滲,0394,0,,,,,,06466,M18081,085
漁,0395,0,,,,,,06477,M18101,085
漂,0396,0,,,,,,06480,M18102,085
06494,0397,0,,,,,,06494,M18139,085
漸,0398,0,,,,,,06517,M18179,085
06536,0399,0,,,,,,06536,M18239,085
澗,0400,0,,,,,,06551,M18253,085
潮,0401,0,,,,,,06554,M18277,085
濁,0402,0,,,,,,06617,M18440,085
06621,0403,0,,,,,,06621,M18454,085
06625,0404,0,,,,,,06625,M18458,085
濛,0405,0,,,,,,06638,M18491,085
06649,0406,0,,,,,,06649,M18517,085
濫,0407,0,,,,,,06651,M18521,085
瀏,0408,0,,,,,,06689,M18607,085
涜,0409,0,,,,,,06681,M18591,085
瀬,0410,0,,,,,,06713,M18672,085
灌,0411,0,,,,,,06748,M18759,085
灑,0412,0,,,,,,06750,M18774,085
06802,0413,0,,,,,,06802,M18918,086
烏,0414,0,,,,,,06835,M18998,086
烟,0415,0,,,,,,06847,M19022,086
06880,0416,0,,,,,,06880,M19139,086
06890,0417,0,,,,,,06890,M19174,086
煕,0418,0,,,,,,06898,M19192,086
照,0419,0,,,,,,06918,M19226,086
煩,0420,0,,,,,,06921,M19229,086
煬,0421,0,,,,,,06922,M19235,086
06935,0422,0,,,,,,06935,M19288,086
熏,0423,0,,,,,,06941,M19300,086
熟,0424,0,,,,,,06949,M19332,086
烽,0425,0,,,,,,06857,M19059,086
煌,0426,0,,,,,,06893,M19181,086
爍,0427,0,,,,,,07009,M19549,086
爛,0428,0,,,,,,07017,M19604,086
爵,0429,0,,,,,,07034,M19711,087
父,0430,0,,,,,,07035,M19721,088
爽,0431,0,,,,,,07042,M19746,089
牙,0432,0,,,,,,07065,M19909,092
犇,0433,0,,,,,,07094,M20058,093
07103,0434,0,,,,,,07103,M20154,093
犯,0435,0,,,,,,07112,M20238,094
狂,0436,0,,,,,,07125,M20287,094
狄,0437,0,,,,,,07127,M20290,094
07138,0438,0,,,,,,07138,M20344,094
狼,0439,0,,,,,,07165,M20432,094
07168,0440,0,,,,,,07168,M20435,094
07189,0441,2,1,1,,,,07189,M20525,094
07226,0442,0,,,,,,07226,M20684,094
07238,0443,0,,,,,,07238,M20756,094
獸,0444,0,,,,,,07248,M20775,094
獺,0445,0,,,,,,07249,M20782,094
玲,0446,0,,,,,,07275,M20888,096
琴,0447,0,,,,,,07327,M21079,096
07335,0448,0,,,,,,07335,M21106,096
瑕,0449,0,,,,,,07339,M21120,096
瑞,0450,0,,,,,,07346,M21131,096
瑤,0451,0,,,,,,07351,M21149,096
瑰,0452,0,,,,,,07356,M21164,096
瓏,0453,0,,,,,,07395,M21340,096
07401,0454,0,,,,,,07401,M21361,096
嘗,0455,0,,,,,,01479,M04205,030
用,0456,0,,,,,,07469,M21703,101
由,0457,0,,,,,,07479,M21724,102
申,0458,0,,,,,,07481,M21726,102
界,0459,0,,,,,,07501,M21775,102
畢,0460,0,,,,,,07520,M21829,102
略,0461,0,,,,,,07522,M21839,102
畫,0462,0,,,,,,07525,M21859,102
異,0463,0,,,,,,07530,M21854,102
當,0464,0,,,,,,07535,M21890,102
疆,0465,0,,,,,,07548,M21961,102
07647,0466,0,,,,,,07647,M22395,104
盈,0467,0,,,,,,07758,M22961,108
益,0468,0,,,,,,07759,M22972,108
直,0469,0,,,,,,07799,M23136,109
盾,0470,0,,,,,,07806,M23171,109
眥,0471,0,,,,,,07831,M23250,109
07837,0472,0,,,,,,07837,M23307,109
眺,0473,0,,,,,,07842,M23314,109
睨,0474,0,,,,,,07867,M23464,109
睹,0475,0,,,,,,07870,M23519,109
07905,0476,0,,,,,,07905,M23712,109
矍,0477,0,,,,,,07915,M23792,109
矣,0478,0,,,,,,07938,M23931,111
矩,0479,0,,,,,,07944,M23947,111
07984,0480,0,,,,,,07984,M24115,112
破,0481,0,,,,,,07986,M24124,112
碎,0482,0,,,,,,08016,M24284,112
碕,0483,0,,,,,,08023,M24296,112
碣,0484,0,,,,,,08026,M24326,112
碩,0485,0,,,,,,08029,M24338,112
08031,0486,0,,,,,,08031,M24342,112
祈,0487,0,,,,,,08108,M24640,113
祉,0488,0,,,,,,08109,M24641,113
拓,0489,0,,,,,,03748,M11958,064
祖,0490,0,,,,,,08117,M24664,113
祝,0491,0,,,,,,08123,M24672,113
祠,0492,0,,,,,,08126,M24676,113
祥,0493,0,,,,,,08130,M24689,113
票,0494,0,,,,,,08132,M24694,113
08145,0495,0,,,,,,08145,M24761,113
福,0496,0,,,,,,08148,M24768,113
禦,0497,0,,,,,,08159,M24820,113
禪,0498,0,,,,,,08162,M24835,113
秉,0499,0,,,,,,08185,M24932,115
秬,0501,0,,,,,,08209,M25002,115
稍,0502,0,,,,,,08224,M25083,115
稠,0503,0,,,,,,08239,M25130,115
積,0504,0,,,,,,08269,M25266,115
穹,0505,0,,,,,,08295,M25414,116
空,0506,0,,,,,,08296,M25415,116
穿,0507,0,,,,,,08300,M25436,116
08299,0508,0,,,,,,08299,M25435,116
竟,0509,0,,,,,,08365,M25757,117
竢,0510,0,,,,,,08369,M25770,117
竦,0511,0,,,,,,08372,M25776,117
競,0512,0,,,,,,08380,M25831,117
竿,0513,0,,,,,,08387,M25854,118
符,0514,0,,,,,,08408,M25935,118
第,0515,0,,,,,,08412,M25943,118
等,0516,0,,,,,,08426,M25992,118
節,0517,0,,,,,,08493,M26243,118
08532,0518,0,,,,,,08532,M26392,118
簸,0519,0,,,,,,08587,M26609,118
08617,0520,0,,,,,,08617,M26750,118
籠,0521,0,,,,,,08619,M26752,118
粟,0522,0,,,,,,08664,M26922,119
粲,0523,0,,,,,,08677,M26966,119
08692,0524,0,,,,,,08692,M27035,119
紀,0525,0,,,,,,08735,M27234,120
約,0526,0,,,,,,08738,M27242,120
紆,0527,0,,,,,,08741,M27244,120
08776,0528,0,,,,,,08776,M27340,120
累,0529,0,,,,,,08778,M27343,120
紲,0530,0,,,,,,08782,M27347,120
紹,0531,0,,,,,,08787,M27361,120
結,0532,0,,,,,,08807,M27398,120
08823,0533,0,,,,,,08823,M27433,120
絹,0534,0,,,,,,08840,M27470,120
綏,0535,0,,,,,,08854,M27501,120
緑,0536,0,,,,,,08870,M27541,120
08874,0537,0,,,,,,08874,M27555,120
綴,0538,0,,,,,,08888,M27579,120
08900,0539,0,,,,,,08900,M27594,120
緝,0540,0,,,,,,08919,M27645,120
縁,0541,0,,,,,,08924,M27656,120
縡,0542,0,,,,,,08969,M27781,120
縣,0543,0,,,,,,08972,M27784,120
縱,0544,0,,,,,,08982,M27819,120
09003,0545,0,,,,,,09003,M27856,120
繞,0546,0,,,,,,09020,M27909,120
繩,0547,0,,,,,,09028,M27937,120
09033,0548,0,,,,,,09033,M27952,120
繼,0549,0,,,,,,09047,M27997,120
纔,0550,0,,,,,,09073,M28070,120
09077,0551,0,,,,,,09077,M28092,120
纛,0552,0,,,,,,09078,M28080,120
缺,0553,0,,,,,,09085,M28122,121
罔,0554,0,,,,,,09104,M28211,122
09112,0555,0,,,,,,09112,M28245,122
置,0556,0,,,,,,09128,M28298,122
09138x,0557,0,,,,,,09138x,M28352,122
羆,0558,0,,,,,,09145,M28398,122
義,0559,0,,,,,,09177,M28504,123
羲,0560,0,,,,,,09186,M28552,123
09198,0561,0,,,,,,09198,M28622,124
09209,0562,0,,,,,,09209,M28662,124
翔,0563,0,,,,,,09216,M28689,124
翕,0564,0,,,,,,09218,M28691,124
09219,0565,0,,,,,,09219,M28727,124
翰,0567,0,,,,,,09236,M28780,124
翳,0568,0,,,,,,09238,M28796,124
翼,0569,0,,,,,,09245,M28818,124
耀,0570,0,,,,,,09249,M28828,124
耆,0571,0,,,,,,09257,M28849,125
耕,0572,0,,,,,,09272,M28907,127
09295,0573,0,,,,,,09295,M29021,128
聚,0574,0,,,,,,09314,M29093,128
聞,0575,0,,,,,,09315,M29104,128
聿,0576,0,,,,,,09339,M29215,129
育,0577,0,,,,,,09379,M29318,130
背,0578,0,,,,,,09394,M29363,130
胎,0579,0,,,,,,09395,M29369,130
胤,0580,0,,,,,,09413,M29405,130
09427,0581,0,,,,,,09427,M29450,130
09467,0582,0,,,,,,09467,M29544,130
腴,0584,0,,,,,,09512,M29713,130
膏,0585,0,,,,,,09535,M29800,130
興,0586,0,,,,,,09630,M30226,134
舍,0587,0,,,,,,09638,M30278,135
舜,0588,0,,,,,,09653,M30339,136
芝,0589,0,,,,,,09742,M30699,140
09756,0590,0,,,,,,09756,M30733,140
09762,0591,0,,,,,,09762,M30740,140
苓,0592,0,,,,,,09774,M30777,140
09805,0593,0,,,,,,09805,M30831,140
茄,0594,0,,,,,,09809,M30835,140
茅,0595,0,,,,,,09810,M30836,140
09812,0596,0,,,,,,09812,M30839,140
茘,0597,0,,,,,,09818,M30866,140
茫,0598,0,,,,,,09824,M30900,140
茸,0599,0,,,,,,09835,M30918,140
荷,0600,0,,,,,,09860,M31000,140
莊,0601,0,,,,,,09869,M31035,140
菊,0602,0,,,,,,09900,M31153,140
菌,0603,0,,,,,,09901,M31156,140
09973,0604,0,,,,,,09973,M31413,140
菟,0605,0,,,,,,09911,M31189,140
萃,0606,0,,,,,,09934,M31251,140
莱,0607,0,,,,,,09939,M31262,140
葛,0608,0,,,,,,09976,M31420,140
芻,0609,0,,,,,,09765,M30744,140
蒸,0610,0,,,,,,10028,M31618,140
蓐,0611,0,,,,,,10043,M31660,140
蔑,0612,0,,,,,,10070,M31781,140
葱,0613,0,,,,,,09988,M31454,140
10089,0614,0,,,,,,10089,M31892,140
蕘,0615,0,,,,,,10111,M31965,140
10145,0616,0,,,,,,10145,M32100,140
薦,0617,0,,,,,,10160,M32143,140
藜,0618,0,,,,,,10200,M32326,140
藩,0619,0,,,,,,10206,M32346,140
藪,0620,0,,,,,,10207,M32348,140
蘢,0621,0,,,,,,10244,M32438,140
10267,0622,0,,,,,,10267,M32682,141
10268,0623,0,,,,,,10268,M32684,141
號,0624,0,,,,,,10276,M32726,141
10280,0625,0,,,,,,10280,M32734,141
10287,0626,0,,,,,,10287,M32810,142
蚤,0627,0,,,,,,10318,M32893,142
蚩,0628,0,,,,,,10322,M32902,142
10401,0631,2,1,1,,,,10401,M33115,142
蜷,0632,0,,,,,,10438,M33199,142
10539,0633,0,,,,,,10539,M33584,142
蝉,0634,0,,,,,,10546,M33616,142
蟲,0635,0,,,,,,10549,M33633,142
10561,0636,0,,,,,,10561,M33682,142
10573,0637,0,,,,,,10573,M33745,142
蠡,0638,0,,,,,,10580,M33796,142
10597,0639,0,,,,,,10597,M33887,142
衷,0640,0,,,,,,10653,M34139,145
衿,0641,0,,,,,,10660,M34149,145
袤,0642,0,,,,,,10679,M34213,145
裕,0643,0,,,,,,10709,M34305,145
裘,0644,0,,,,,,10710,M34312,145
裝,0645,0,,,,,,10715,M34321,145
