統合ID,文字,藥師功徳,字体数,用例数,部首
02390,實,0469,1,2,040
02425,將,0470,1,17,041
02426,專,0471,1,3,041
02429,尊,0472,1,34,041
02440,少,0473,1,3,042
02446,尚,0474,1,2,042
02515,屬,0475,1,7,044
02469,尸,0476,1,3,044
02496,展,0477,1,2,044
02473,尼,0478,1,3,044
02482,居,0479,1,3,044
02489,屍,0480,1,2,044
02528,山,0481,1,3,046
02775,巧,0483,1,2,048
02783,已,0484,1,12,049
02835,師,0485,1,34,050
02800,布,0486,1,2,050
02881,幡,0487,1,8,050
02820,帝,0488,1,8,050
02847,常,0489,1,5,050
02900,年,0490,1,3,051
02932,底,0491,1,2,053
02944,度,0492,1,4,053
02993,廣,0493,1,2,053
02946,座,0494,1,3,053
03005,延,0495,1,2,054
03044,引,0496,1,2,057
03052,弟,0497,1,2,057
03101,形,0498,1,8,059
03159,復,0499,1,29,060
03145,得,0500,1,56,060
03124,彼,0502,1,49,060
03138,後,0503,1,4,060
03172,德,0504,1,16,060
03151,從,0505,1,6,060
03267,恆,0506,1,3,061
03297,恭,0507,1,10,061
03439,慈,0508,1,3,061
03372,惱,0509,1,10,061
03367,惡,0510,1,34,061
03312,悉,0511,1,11,061
03348,情,0512,1,30,061
03214,念,0513,1,14,061
03550,應,0514,1,19,061
03395,意,0515,1,6,061
03534,憶,0516,1,5,061
03335,悲,0517,1,4,061
03486,憂,0518,1,2,061
03586,懸,0519,1,2,061
03365,惟,0520,1,2,061
03233,怖,0521,1,4,061
03248,怪,0522,1,3,061
03329,患,0523,1,3,061
03239,思,0524,1,2,061
03355,惑,0525,1,3,061
03404,愚,0526,1,4,061
03462,慧,0527,1,3,061
03364,惜,0528,1,2,061
03471,慳,0529,1,2,061
03458,慢,0530,1,3,061
03179,心,0531,1,25,061
03612,戒,0532,1,12,062
03617,或,0533,1,27,062
03611,我,0534,1,30,062
03632,戮,0535,1,2,062
03610,成,0536,1,3,062
03647,所,0537,1,47,063
03927,揵,0538,1,2,064
03855,授,0539,1,2,064
03659,手,0540,1,2,064
04075,撻,0541,1,2,064
04009,摩,0542,1,5,064
03780,持,0543,1,21,064
03896,提,0544,1,16,064
03835,捨,0545,1,5,064
04192,攝,0546,1,2,064
04243,故,0547,1,13,066
04296,敷,0548,1,2,066
04286,敬,0549,1,11,066
04261,教,0550,1,2,066
04280,散,0551,1,2,066
04233,放,0552,1,5,066
04263,救,0553a,2,5,066
04263b,救,0553b,2,2,066
04381,斷,0554,1,3,069
04385,方,0556,1,6,070
04391,施,0557a,2,5,070
04391b,施,0557b,2,2,070
04490,昔,0558,1,2,072
04603,暫,0559,1,3,072
04569,智,0560,1,4,072
04446,日,0561,1,10,072
04523,時,0562,1,42,072
04485,明,0563,1,9,072
04512,是,0564,1,31,072
04661,曾,0565,1,2,073
04654,更,0566,1,4,073
04650,曰,0567,1,5,073
04657,書,0568,1,6,073
04660,曼,0569,1,17,073
04674,有,0570,1,84,074
04673,月,0572,1,4,074
04679,服,0573,1,3,074
05152,業,0574,1,7,075
04806,果,0575,1,3,075
04711,未,0576,1,3,075
04713,本,0577a,2,8,075
04713b,本,0577b,2,1,075
05639,歡,0578,1,3,076
05381,橫,0579,1,18,075
05010,梵,0580,1,2,075
05279,樂,0581,1,19,075
05161,極,0582,1,6,075
04922,根,0583,1,9,075
04803,林,0584,1,3,075
05580,欲,0585,1,5,076
05558,次,0586,1,13,076
05643,正,0587,1,15,077
05717,殊,0588,1,18,078
05686,死,0589,1,10,078
05796,殺,0590,1,6,079
05812,毀,0591,1,7,079
05834,母,0592,1,2,080
05839,毒,0593,1,4,080
05845,毗,0594,1,2,081
05947,氣,0595,1,3,084
05964,求,0596,1,13,085
06338,渴,0597,1,3,085
06023,沒,0598,1,4,085
06285,深,0599,1,6,085
06151,流,0600,1,4,085
06290,清,0601,1,7,085
06086,波,0602,1,3,085
05983,汝,0603,1,5,085
06192,消,0604,1,3,085
05952,水,0605,1,3,085
06517,漸,0606,1,3,085
06490,演,0607,1,3,085
06587,澡,0608,1,3,085
06511,漱,0609,1,2,085
06432,滅,0610,1,2,085
06074,法,0611,1,24,085
06748,灌,0612,1,3,085
06123,洛,0613,1,3,085
06872,無,0614,1,55,086
06918,照,0616a,2,1,086
06918b,照,0616b,2,1,086
07032,爲,0617,1,29,087
06885,然,0618,1,11,086
06792,災,0619,1,2,086
06957,熱,0620,1,2,086
06776,火,0621,1,2,086
06978,燒,0622,1,4,086
06971,燈,0623,1,8,086
07035,父,0624,1,2,088
07043,爾,0625,1,14,089
07080,物,0626,1,2,093
07212,獄,0627,1,3,094
07241,獲,0628,1,2,094
07230,獨,0629,1,2,094
07112,犯,0630,1,3,094
07262,王,0631,1,16,096
07304,現,0632,1,3,096
07366,璃,0633,1,33,096
07323,琰,0634,1,5,096
07461,生,0635,1,39,100
07469,用,0636,1,3,101
07483,男,0637,1,14,102
07503,畏,0638,1,2,102
07501,界,0639,1,9,102
07479,由,0640,1,7,102
07535,當,0641,1,15,102
07598,病,0642,1,22,104
07591,疾,0643,1,4,104
07685,癡,0644,1,2,104
07654,痩,0645,1,2,104
07707,發,0646,1,2,105
07709,白,0647,1,6,106
07710,百,0648,1,9,106
07717,皆,0649,1,30,106
07779,盡,0650,1,11,108
07759,益,0651,1,9,108
10593,蠱,0652,1,2,142
07801,相,0653,1,11,109
07844,眾,0654,1,29,109
07839,眷,0655a,2,2,109
07839b,眷,0655b,2,2,109
07941,知,0656,1,6,111
07986,破,0657,1,5,112
08165,禮,0658,1,2,113
08097,示,0659,1,3,113
08101,社,0660,1,2,113
08124,神,0661,1,12,113
08148,福,0662,1,8,113
08146,禍,0663,1,2,113
08248,稱,0664,1,2,115
08244,種,0665,1,27,115
08329,窮,0666,1,4,116
08296,空,0667,1,2,116
08376,端,0668,1,3,117
08354,立,0669,1,5,117
08371,童,0670,1,2,117
08426,等,0671,1,29,118
08412,第,0672,1,7,118
08685,精,0673,1,4,119
09061,續,0674,1,4,120
08795,終,0675,1,6,120
08889,綵,0676,1,3,120
08963,縛,0677,1,3,120
08885,網,0678,1,2,120
09030,繋,0679,1,3,120
08807,結,0680,1,3,120
09128,置,0681,1,2,122
09144,羅,0682,1,20,122
09125,罪,0683,1,3,122
09142,羂,0684,1,2,122
09177,義,0685,1,5,123
09255,者,0686,1,35,125
09264,而,0687,1,23,126
09290,耳,0688,1,2,128
09314,聚,0689,1,2,128
09328,聲,0690,1,5,128
09335,聽,0691,1,2,128
09326,聰,0692,1,3,128
09315,聞,0693,1,32,128
09463,脱,0694,1,16,130
09429,能,0695,1,20,130
09462,脩,0696,1,9,130
09596,臣,0697,1,3,131
09602,自,0698,1,18,132
09610,至,0699,1,19,133
09630,興,0700,1,5,134
09716,色,0701,1,9,139
10008,蒙,0702,1,2,140
10139,薄,0703,1,3,140
09972,著,0704,1,2,140
09804,苾,0705,1,5,140
09886,莫,0706,1,2,140
09921,華,0707,1,5,140
09869,莊,0708,1,4,140
09765,芻,0709,1,5,140
10163,薩,0710a,2,29,140
10163b,薩,0710b,2,1,140
10204,藥,0711,1,46,140
09919,菩,0712,1,43,140
09758,花,0713,1,3,140
09788,若,0714,1,54,140
09789,苦,0716,1,24,140
10264,虎,0717,1,2,141
10605,血,0718,1,2,143
10614,行,0719,1,24,144
10637,衣,0720,1,3,145
10683,被,0721,1,3,145
10820,西,0722,1,2,146
10831,見,0723,1,16,147
10848,親,0724,1,3,147
10856,覺,0725,1,6,147
10859,觀,0726,1,2,147
10875,解,0727,1,15,148
10928,設,0728,1,6,149
11095,謂,0729,1,2,149
11085,諸,0730,1,61,149
11017,語,0732,1,3,149
11008,誓,0733,1,2,149
11207,讀,0734,1,5,149
11023,誦,0735,1,6,149
11200,護,0736,1,4,149
11049,請,0737,1,2,149
10965,詛,0738,1,2,149
11155,證,0739,1,4,149
10936,訶,0740,1,4,149
11116,謗,0741,1,3,149
10890,言,0742,1,14,149
11171,識,0743,1,6,149
11229,讚,0744,1,5,149
11334,財,0745,1,4,154
11373,資,0746,1,5,154
11332,負,0747,1,2,154
11338,貧,0748,1,2,154
11461,起,0749,1,7,156
11548,路,0750,1,3,157
11495,足,0751,1,8,157
11715,身,0752,1,17,158
11802,輕,0753,1,2,159
11827,輪,0754,1,3,159
11744,軌,0755,1,2,159
11974,迷,0756,1,2,162
12052,達,0757,1,3,162
12046,過,0758,1,2,162
11986,逆,0759,1,2,162
12030,逼,0760,1,5,162
12115,邊,0761,1,2,162
11960,迦,0762,1,2,162
12108,還,0763,1,7,162
12004,造,0764,1,10,162
03157,徧,0765,1,4,060
12040,遇,0766,1,3,162
12001,逝,0767,1,2,162
12003,速,0768,1,3,162
12051,道,0769,1,11,162
12037,遂,0770,1,2,162
12092,遶,0771,1,2,162
11918,辱,0772,1,2,161
12204,鄔,0773,1,2,163
12139,邪,0774,1,5,163
12341,醫,0775,1,3,164
12376,量,0776,1,15,166
12373,重,0777,1,5,166
12698,長,0778,1,6,168
12709,門,0779,1,4,169
12714,閉,0780,1,2,169
12724,間,0781,1,5,169
12783,闕,0782,1,2,169
12716,開,0783,1,2,169
12831,陀,0784,1,2,170
12867,陵,0785,1,2,170
12855,除,0786,1,8,170
12927,隨,0787,1,9,170
12830,阿,0788,1,17,170
13002,難,0789,1,36,172
12997,雜,0790,1,3,172
12991,雖,0791,1,7,172
13001,離,0792,1,3,172
13012,雨,0793,1,3,173
13104,非,0794,1,7,175
13192,鞭,0795,1,2,177
13176,鞞,0796,1,4,177
13281,音,0797,1,2,180
13296,頂,0798,1,3,181
13391,願,0799,1,37,181
13423,風,0800,1,2,182
13565,餘,0801,1,11,184
13503,食,0802,1,9,184
13508,飢,0803,1,3,184
13526,飮,0804,1,4,184
13667,香,0805,1,11,186
13940,高,0806,1,2,189
13999,鬘,0807,1,2,190
14073,魅,0808,1,2,194
14775,鼓,0809,1,2,207
14829,齋,0810,1,3,210
00121,亂,0811a,2,1,005
00121b,亂,0811b,2,1,005
00503,僧,0812a,2,3,009
00503b,僧,0812b,2,1,009
00489,像,0813a,2,6,009
00489b,像,0813b,2,2,009
00216,伎,0814a,2,2,009
00216b,伎,0814b,2,1,009
01088,厭,0815a,3,2,027
01088b,厭,0815b,3,1,027
01088c,厭,0815c,3,1,027
01796,報,0816a,2,3,032
01796b,報,0816b,2,1,032
01863,墮,0817a,2,6,032
01863b,墮,0817b,2,5,032
03919,揭,0818a,2,2,064
03919b,揭,0818b,2,1,064
04389,於,0819a,2,32,070
04389b,於,0819b,2,5,070
04542,晝,0820a,2,1,072
04542b,晝,0820b,2,1,072
05644,此,0821a,2,19,077
05644b,此,0821b,2,8,077
05676,歸,0822a,2,4,077
05676b,歸,0822b,2,1,077
06272,淨,0823a,2,8,085
06272b,淨,0823b,2,7,085
06272b,淨,0823b,2,7,085
06476,滿,0824a,2,4,085
06476b,滿,0824b,2,1,085
07348,瑠,0825a,2,32,096
07348b,瑠,0825b,2,1,096
07559,疑,0826a,2,1,103
07559b,疑,0826b,2,1,103
09292,耶,0827a,2,1,128
09292b,耶,0827b,2,1,128
09348,肉,0828a,2,3,130
09348b,肉,0828b,2,1,130
09601,臨,0829a,2,1,131
09601b,臨,0829b,2,1,131
11025,説,0830a,2,17,149
11025b,説,0830b,2,2,149
11342,貪,0831a,2,3,154
11342b,貪,0831b,2,1,154
11485,趣,0832a,2,9,156
11485b,趣,0832b,2,8,156
11856,轉,0833a,2,6,159
11856b,轉,0833b,2,3,159
10276,號,0834a,2,12,141
10276b,號,0834b,2,5,141
10270,處,0835a,2,12,141
10270b,處,0835b,2,6,141
10480,蝱,0836a,2,1,142
10480b,蝱,0836b,2,1,142
10303,蚊,0837a,2,1,142
10303b,蚊,0837b,2,1,142
12935,隱,0838a,2,2,170
12935b,隱,0838b,2,2,170
13641,饒,0839a,2,6,184
13641b,饒,0839b,2,1,184
13551,養,0840a,2,16,184
13551b,養,0840b,2,1,184
14061,鬼,0841a,2,3,194
14061b,鬼,0841b,2,3,194
14088,魔,0842a,2,6,194
14088b,魔,0842b,2,4,194
08856,經,0843a,3,13,120
08856b,經,0843b,3,1,120
08856c,經,0843c,3,1,120
07457,甚,0844a,3,2,099
07457b,甚,0844b,3,1,099
07457c,甚,0844c,3,1,099
14033,鬭,0845,0,1,191
