No.,略称,分類,フォルダ名,資料名,作成年代,略称,略称,公開年
34,nto,日本書紀,34_卷二十四（圖書寮本）,卷二十四(圖書寮本),1142年頃,,圖書紀24,2
36,nkm,日本書紀,36_卷二十四（兼右本）,卷二十四(兼右本),1540年,,兼右紀24,2
50,okd,日本寫刊典籍文書,50_金剛場陀羅尼經（小川本）,金剛場陀羅尼經(小川本),686年,,金剛小川,2
55,kmi,日本寫刊典籍文書,55_弥勒上生經（高山寺本）,弥勒上生經(高山寺本),738年,,弥勒上生,2
55',kmo,日本寫刊典籍文書,55'_弥勒上生經奧書(高山寺本),弥勒上生經奧書(高山寺本),738年,弥勒奧書,弥勒奧書,2
56,zkd,日本寫刊典籍文書,56_續高僧傳（五月一日經）（天平寫經）,續高僧傳(五月一日經),740年,,五一續高,2
58,jyu,日本寫刊典籍文書,58_成唯識論卷十（寛治二年刊本）,成唯識論卷十(寛治二年刊本),1088年,,成唯識10,2
17,kak,開成石經,17_開成石經孝經,開成石經孝經,837年,,開成孝經,3
22,sys,吐蕃寫本,22_瑜伽師地論卷三十（S.5309）,瑜伽師地論卷三十(S5309),857年,,S5309,3
24,tsu,北宋版,24_通典卷一,通典卷一,11C,,通典卷一,3
30,hod,南宋版,30_法藏和尚傳（高山寺本）,法藏和尚傳(高山寺本),1149年,,法藏和尚,3
31,gok,南宋版,31_後漢書光武帝紀,後漢書光武帝紀,12C末,,光武帝紀,3
37,k24,日本書紀,37_卷二十四（寛文九年版）,卷二十四(寛文九年版),1669年,,寛九紀24,3
42,kcj,日本書紀,42_卷二（慶長十五年版）,卷二(慶長十五年版),1610年,,慶長紀2,3
43,kbk,日本書紀,43_卷二（寛文九年版）,卷二(寛文九年版),1669年,,寛九紀2,3
44,sik,韓国資料,44_花嚴經卷八（新羅本寫本）,花嚴經卷八(新羅本寫本),754年,,花嚴新羅,3
46,skk,韓国資料,46_華嚴經卷二十（晉本高麗古版）,華嚴經卷二十(晉本高麗古版),10C,,古麗華20,3
47,kyu,韓国資料,47_瑜伽論卷五（高麗初彫本）,瑜伽師地論卷五(高麗初彫本),11C,,初麗瑜5,3
48,ksk,韓国資料,48_華嚴經卷六（高麗再彫本）,華嚴經卷六(高麗再彫本),13C,,再麗華6,3
49,wan,大和寧（渤海？）寫本,49_華嚴經卷三十八（趙氏藏本）,華嚴經卷三十八(趙氏藏本),9-10C,,和寧華38,3
64,kss,日本寫刊典籍文書,64_華嚴信種義（明惠自筆）,華嚴信種義(明惠自筆),1221年,,華嚴信種,3
66,kyo,日本寫刊典籍文書,66_教行信証卷四（親鸞自筆）,教行信証卷四(親鸞自筆),1224年,,教行信証,3
74,smk,西夏版,74_西夏版妙法蓮華經卷一,妙法蓮華經卷一(ロシア東方研究所),1149年,,西夏法華,3
12,fhs,初唐寫本,12_妙法蓮華經卷六（P.2195）,妙法蓮華經卷六(P2195),675年,P2195,P2195,4
23,khh,北宋版,23_宝篋印陀羅尼經（天理図書館本）,宝篋印陀羅尼經(天理図書館本),970年代,宝篋天理,宝篋天理,4
27,kkh,北宋版,27_金剛般若經（京都国立博物館本）,金剛般若經(京都国立博物館本),,京博金般,京博金般,4
38,ini,日本書紀,38_卷二（鴨脚本）,卷二(鴨脚本),1236年,鴨脚紀2,鴨脚紀2,4
61,sai,日本寫刊典籍文書,61_最上秘密那拏天經（東禪寺版日本寫本）,最上秘密那拏天經(東禪寺版日本寫本),12C,最上秘密,最上秘密,4
62,kad,日本寫刊典籍文書,62_大般若經卷八十（春日版）,大般若經卷八十(春日版),13C,春日般若,春日般若,4
68,ykk,日本寫刊典籍文書,68_藥師功徳經,藥師功徳經(守屋本),1412年,藥師功徳,藥師功徳,4
70,saa,盛唐寫本,70_阿毘達磨大毘婆沙論卷百七十(正倉院本),阿毘達磨大毘婆沙論卷百七十(正倉院本),8C初,正毘170,正毘170,4
71,sab,盛唐寫本,71_阿毘達磨大毘婆沙論卷百七十八(正倉院本),阿毘達磨大毘婆沙論卷百七十八(正倉院本),8C初,正毘178,正毘178,4
72,wks,大和寧（渤海？）寫本,72_花嚴經卷六十七(守屋本),花嚴經卷六十七(守屋本),9-10C,和寧花67,和寧花67,4
73,wke,大和寧（渤海？）寫本,73_花嚴經卷六十八(守屋本),花嚴經卷六十八(守屋本),9-10C,和寧花68,和寧花68,4
77,sgs,日本寫刊典籍文書,77_四分律卷第十六(正倉院五月一日經),四分律卷第十六(正倉院五月一日經),740年頃,正四分16,正四分16,4
78,sts,日本寫刊典籍文書,78_四分律卷第二十(正倉院唐經),四分律卷第二十(正倉院唐經),740年頃,正四分20,正四分20,4
79,kkd,日本寫刊典籍文書,79_金剛大教王經卷第二(高山寺本),金剛大教王經卷第二(高山寺本),12C初,院政大教,院政大教,4
04,dai,敦煌南北朝寫本,04_大般涅槃經卷二十三（S.767）,大般涅槃經卷二十三(S767),6C,S767,S767,
20,kji,開成石經,20_開成石經九經字樣,開成石經九經字樣,837年,開成九經,開成九經,
21,gom,開成石經,21_開成石經五經文字,開成石經五經文字,837年,開成五經,開成五經,
32,,僞寫本,32_瑜伽師地論卷第二（北海道大学本）,瑜伽師地論卷第二(北海道大学本),20C寫本,瑜師北大,瑜師北大,
35,nki,日本書紀,35_卷二十四（北野本）,卷二十四(北野本),12C,北野紀24,北野紀24,
40,kni,日本書紀,40_日本書記纂疏卷六（清原宣賢寫）,日本書紀纂疏卷六(清原宣賢寫),1511年,紀纂疏6,紀纂疏6,
45,ckh,韓国資料,45_金剛般若經（趙氏藏寫本）,金剛般若經(趙氏藏寫本),8-9C,趙氏金般,趙氏金般,
51,fmo,日本寫刊典籍文書,51_藤原宮木簡,藤原宮木簡,7C末-8C初,藤原木簡,藤原木簡,
52,tkh,日本寫刊典籍文書,52_大宝二年御野國戸籍本簀郡,大宝二年御野國戸籍本簀郡,702年,大籍本簀,大籍本簀,
53,tkm,日本寫刊典籍文書,53_大宝二年御野國戸籍味蜂郡,大宝二年御野國戸籍味蜂郡,702年,大籍味蜂,大籍味蜂,
59,tbu,日本寫刊典籍文書,59_文鏡秘府論地卷（徳富本）,文鏡秘府論地卷(徳富本),12C前半,徳富文鏡,徳富文鏡,
63,jjr,日本寫刊典籍文書,63_淨土十疑論,淨土十疑論,13C,淨土十疑,淨土十疑,
65,sam,日本寫刊典籍文書,65_阿弥陀經註（親鸞自筆）,阿弥陀經註(親鸞自筆),鎌倉書紀,阿弥陀註,阿弥陀註,
67,dfu,日本寫刊典籍文書,67_普勸坐禪儀（道元自筆）,普勸坐禪儀(道元自筆),1227年,普勸坐禪,普勸坐禪,
69,tne,僞寫本？,唐招提寺本涅槃經卷二十四,涅槃經卷二十四(唐招提寺本),,唐招涅槃,唐招涅槃,
75,未完成,ベトナム,75_禪苑集英,禪苑集英,1715年,,,
76,未完成,韓国資料,76_華嚴經卷七十二～八十(正倉院),花嚴經卷七十二～七十四(正倉院),8C,正花新羅,正花新羅,
76',,韓国資料,76_華嚴經卷七十二～八十(正倉院),花嚴經卷七十二～八十(正倉院)一部,8C,,,
,,,,,,,,
,,,,,,,,
,pとx以外,,,,,,,
